ensembl_gene_id	mdomestica_homolog_ensembl_gene	neugenii_homolog_ensembl_gene	koala_transcript_id
ENSSHAG00000000001	ENSMODG00000005999	ENSMEUG00000007530	Locus_6181_Transcript_3/12_Confidence_0.333_Length_2426
ENSSHAG00000000002	ENSMODG00000002522	ENSMEUG00000013682	Locus_92756_Transcript_1/1_Confidence_0.000_Length_2844
ENSSHAG00000000005	ENSMODG00000014968	ENSMEUG00000014623	NA
ENSSHAG00000000008	ENSMODG00000002912	ENSMEUG00000011743	NA
ENSSHAG00000000009	ENSMODG00000023889	ENSMEUG00000001476	NA
ENSSHAG00000000011	ENSMODG00000004501	ENSMEUG00000001804	Locus_7093_Transcript_33/45_Confidence_0.349_Length_5945
ENSSHAG00000000013	ENSMODG00000008504	ENSMEUG00000011370	Locus_18819_Transcript_5/33_Confidence_0.381_Length_5207
ENSSHAG00000000016	ENSMODG00000016489	ENSMEUG00000007523	Locus_20051_Transcript_19/24_Confidence_0.226_Length_3942
ENSSHAG00000000017	ENSMODG00000014392	ENSMEUG00000004421	Locus_10817_Transcript_1/48_Confidence_0.069_Length_5486
ENSSHAG00000000019	ENSMODG00000012447	ENSMEUG00000003542	NA
ENSSHAG00000000020	ENSMODG00000007995	ENSMEUG00000007047	Locus_15884_Transcript_17/18_Confidence_0.161_Length_5248
ENSSHAG00000000022	ENSMODG00000021137	ENSMEUG00000006974	NA
ENSSHAG00000000023	ENSMODG00000002650	ENSMEUG00000005138	NA
ENSSHAG00000000025	ENSMODG00000011095	ENSMEUG00000013690	NA
ENSSHAG00000000026	ENSMODG00000017398	ENSMEUG00000008573	Locus_6446_Transcript_2/9_Confidence_0.600_Length_3439
ENSSHAG00000000027	ENSMODG00000007632	ENSMEUG00000016624	Locus_2336_Transcript_25/45_Confidence_0.359_Length_5778
ENSSHAG00000000028	ENSMODG00000004708	ENSMEUG00000000741	Locus_8210_Transcript_2/10_Confidence_0.312_Length_2868
ENSSHAG00000000029	ENSMODG00000010143	NA	Locus_34601_Transcript_1/8_Confidence_0.136_Length_858
ENSSHAG00000000031	ENSMODG00000023947	ENSMEUG00000013421	Locus_67496_Transcript_4/5_Confidence_0.429_Length_1480
ENSSHAG00000000032	ENSMODG00000006980	ENSMEUG00000012161	NA
