scaffold	start	end	snp	score	p	q	quantile	adjp
chr1_GL834412_random	55620	55621	chr1_GL834412_random-55621	-0.193448	NA	NA	0.944782320708135	0.0552778948636117
chr1_GL834412_random	55671	55672	chr1_GL834412_random-55672	-0.176353	NA	NA	0.934786535798157	0.0652736797735894
chr1_GL834412_random	208349	208350	chr1_GL834412_random-208350	-0.097441	NA	NA	0.768591557776841	0.231468657794906
chr1_GL834412_random	239580	239581	chr1_GL834412_random-239581	0.029367	NA	NA	0.256969952429698	0.743090263142049
chr1_GL834412_random	239673	239674	chr1_GL834412_random-239674	-0.082721	NA	NA	0.695971578250135	0.304088637321611
chr1_GL834412_random	239679	239680	chr1_GL834412_random-239680	-0.137264	NA	NA	0.883723730956825	0.116336484614921
chr1_GL834412_random	263367	263368	chr1_GL834412_random-263368	-0.051759	NA	NA	0.447823207081351	0.552237008490396
chr1_GL834412_random	756639	756640	chr1_GL834412_random-756640	-0.131689	NA	NA	0.87234298789667	0.127717227675077
chr1_GL834412_random	756640	756641	chr1_GL834412_random-756641	-0.070015	NA	NA	0.609803095080388	0.390257120491359
chr1_GL834412_random	756707	756708	chr1_GL834412_random-756708	-0.117286	NA	NA	0.838020112000963	0.162040103570783
chr1_GL834412_random	756748	756749	chr1_GL834412_random-756749	-0.097595	NA	NA	0.76937436020955	0.230685855362197
chr1_GL834412_random	756750	756751	chr1_GL834412_random-756751	-0.101522	NA	NA	0.784428253146264	0.215631962425483
chr1_GL834412_random	756758	756759	chr1_GL834412_random-756759	-0.083217	NA	NA	0.69856084783525	0.301499367736497
chr1_GL834412_random	1188639	1188640	chr1_GL834412_random-1188640	-0.02997	NA	NA	0.261877521527067	0.73818269404468
chr1_GL834413_random	106558	106559	chr1_GL834413_random-106559	-0.029215	NA	NA	0.255855964352382	0.744204251219365
chr1_GL834413_random	157661	157662	chr1_GL834413_random-157662	0.432512	NA	NA	0.98831817908111	0.0117420364906365
chr1_GL834414_random	69571	69572	chr1_GL834414_random-69572	-0.055858	NA	NA	0.489432167158427	0.51062804841332
chr1_GL834414_random	69623	69624	chr1_GL834414_random-69624	0.503683	NA	NA	0.993135424820859	0.00692479075088818
chr1_GL834414_random	69624	69625	chr1_GL834414_random-69625	0.504364	NA	NA	0.993255855964352	0.00680435960739447
chr1_GL834414_random	69759	69760	chr1_GL834414_random-69760	-0.030443	NA	NA	0.265731318118866	0.734328897452881
chr1_GL834414_random	69906	69907	chr1_GL834414_random-69907	-0.08854	NA	NA	0.727042813271512	0.273017402300235
chr1_GL834414_random	78681	78682	chr1_GL834414_random-78682	0.198752	NA	NA	0.947431805864997	0.0526284097067502
chr1_GL834414_random	78845	78846	chr1_GL834414_random-78846	0.032652	NA	NA	0.284097067501656	0.715963148070091
chr1_GL834414_random	303465	303466	chr1_GL834414_random-303466	-0.148146	NA	NA	0.903233576202806	0.0968266393689408
chr1_GL834414_random	303489	303490	chr1_GL834414_random-303490	-0.132659	NA	NA	0.87445053290781	0.125609682663937
chr1_GL834414_random	303533	303534	chr1_GL834414_random-303534	-0.12535	NA	NA	0.857289094959957	0.14277112061179
chr1_GL834414_random	303560	303561	chr1_GL834414_random-303561	-0.128561	NA	NA	0.865267658216415	0.134792557355332
chr1_GL834414_random	303574	303575	chr1_GL834414_random-303575	-0.12934	NA	NA	0.867044017582947	0.1330161979888
chr1_GL834414_random	935172	935173	chr1_GL834414_random-935173	-0.142973	NA	NA	0.893599084723309	0.106461130848437
chr1_GL834414_random	959639	959640	chr1_GL834414_random-959640	-0.089875	NA	NA	0.734088035165894	0.265972180405853
chr1_GL834414_random	959732	959733	chr1_GL834414_random-959733	-0.102804	NA	NA	0.789546576744746	0.210513638827001
chr1_GL834415_random	157521	157522	chr1_GL834415_random-157522	0.042956	NA	NA	0.369542963810441	0.630517251761305
chr1_GL834415_random	157648	157649	chr1_GL834415_random-157649	0.052853	NA	NA	0.459505028000241	0.540555187571506
chr1_GL834416_random	155408	155409	chr1_GL834416_random-155409	-0.077756	NA	NA	0.664237971939544	0.335822243632203
chr1_GL834416_random	155438	155439	chr1_GL834416_random-155439	-0.025898	NA	NA	0.22851809477931	0.771542120792437
chr1_GL834416_random	155443	155444	chr1_GL834416_random-155444	-0.021742	NA	NA	0.192509182874691	0.807551032697055
chr1_GL834416_random	155549	155550	chr1_GL834416_random-155550	-0.079567	NA	NA	0.675438068284458	0.324622147287288
chr1_GL834416_random	155612	155613	chr1_GL834416_random-155613	0.10548	NA	NA	0.800927319804902	0.199132895766845
chr1_GL834416_random	207086	207087	chr1_GL834416_random-207087	0.038878	NA	NA	0.337357740711748	0.662702474859999
chr1_GL834416_random	207263	207264	chr1_GL834416_random-207264	-0.07593	NA	NA	0.650388390437767	0.34967182513398
chr1_GL834416_random	383844	383845	chr1_GL834416_random-383845	0.056229	NA	NA	0.493827903895947	0.506232311675799
chr1_GL834416_random	383872	383873	chr1_GL834416_random-383873	-0.057518	NA	NA	0.506774251821521	0.493285963750226
chr1_GL834416_random	445975	445976	chr1_GL834416_random-445976	-0.071391	NA	NA	0.620039742277353	0.380020473294394
chr1_GL834416_random	726593	726594	chr1_GL834416_random-726594	-0.054297	NA	NA	0.474769675438068	0.525290540133679
chr1_GL834416_random	762216	762217	chr1_GL834416_random-762217	-0.049042	NA	NA	0.418197145781899	0.581863069789848
