scaffold	start	end	snp	score	p	q	quantile	adjp
chr1_GL834412_random	55620	55621	chr1_GL834412_random-55621	0.075371	NA	NA	0.642166609530339	0.357901954062393
chr1_GL834412_random	55671	55672	chr1_GL834412_random-55672	0.054669	NA	NA	0.490572505999314	0.509496057593418
chr1_GL834412_random	208349	208350	chr1_GL834412_random-208350	0.096902	NA	NA	0.752142612272883	0.247925951319849
chr1_GL834412_random	239580	239581	chr1_GL834412_random-239581	0.057649	NA	NA	0.516489544052108	0.483579019540624
chr1_GL834412_random	263367	263368	chr1_GL834412_random-263368	-0.0273	NA	NA	0.252999657182036	0.747068906410696
chr1_GL834412_random	756639	756640	chr1_GL834412_random-756640	-0.081342	NA	NA	0.677339732601988	0.322728830990744
chr1_GL834412_random	756707	756708	chr1_GL834412_random-756708	-0.006176	NA	NA	0.0585533081933493	0.941515255399383
chr1_GL834412_random	756748	756749	chr1_GL834412_random-756749	0.024355	NA	NA	0.227048337332876	0.773020226259856
chr1_GL834412_random	756750	756751	chr1_GL834412_random-756751	0.019238	NA	NA	0.180185121700377	0.819883441892355
chr1_GL834412_random	756758	756759	chr1_GL834412_random-756759	-0.002396	NA	NA	0.0239972574562907	0.976071306136442
chr1_GL834412_random	1188639	1188640	chr1_GL834412_random-1188640	0.129377	NA	NA	0.847788824134385	0.152279739458348
chr1_GL834413_random	106558	106559	chr1_GL834413_random-106559	-0.114326	NA	NA	0.809016112444292	0.19105245114844
chr1_GL834413_random	157661	157662	chr1_GL834413_random-157662	-0.56185	NA	NA	0.995886184436064	0.00418237915666781
chr1_GL834414_random	69623	69624	chr1_GL834414_random-69624	0.036811	NA	NA	0.337538567020912	0.66252999657182
chr1_GL834414_random	69624	69625	chr1_GL834414_random-69625	0.046674	NA	NA	0.420706205005142	0.57936235858759
chr1_GL834414_random	69759	69760	chr1_GL834414_random-69760	0.074827	NA	NA	0.637847103188207	0.362221460404525
chr1_GL834414_random	69906	69907	chr1_GL834414_random-69907	-0.063687	NA	NA	0.561672951662667	0.438395611930065
chr1_GL834414_random	78681	78682	chr1_GL834414_random-78682	0.039346	NA	NA	0.358793280767912	0.64127528282482
chr1_GL834414_random	78845	78846	chr1_GL834414_random-78846	-0.068837	NA	NA	0.597188892697977	0.402879670894755
chr1_GL834414_random	303465	303466	chr1_GL834414_random-303466	-0.051211	NA	NA	0.460335961604388	0.539732601988344
chr1_GL834414_random	303489	303490	chr1_GL834414_random-303490	-0.03534	NA	NA	0.325402811107302	0.67466575248543
chr1_GL834414_random	303533	303534	chr1_GL834414_random-303534	-0.062658	NA	NA	0.554130956462119	0.445937607130614
chr1_GL834414_random	303560	303561	chr1_GL834414_random-303561	-0.090556	NA	NA	0.723003085361673	0.277065478231059
chr1_GL834414_random	303574	303575	chr1_GL834414_random-303575	-0.069861	NA	NA	0.604456633527597	0.395611930065135
chr1_GL834414_random	935172	935173	chr1_GL834414_random-935173	0.041455	NA	NA	0.376276996914638	0.623791566678094
chr1_GL834414_random	959639	959640	chr1_GL834414_random-959640	0.151287	NA	NA	0.885773054508056	0.114295509084676
chr1_GL834414_random	959732	959733	chr1_GL834414_random-959733	0.163117	NA	NA	0.90167980802194	0.0983887555707919
chr1_GL834415_random	157365	157366	chr1_GL834415_random-157366	-0.080948	NA	NA	0.675282824820021	0.324785738772712
chr1_GL834415_random	157521	157522	chr1_GL834415_random-157522	0.065109	NA	NA	0.571751799794309	0.428316763798423
chr1_GL834416_random	155549	155550	chr1_GL834416_random-155550	0.084729	NA	NA	0.695166266712376	0.304902296880357
chr1_GL834416_random	155612	155613	chr1_GL834416_random-155613	0.062727	NA	NA	0.554782310593075	0.445286252999657
chr1_GL834416_random	207086	207087	chr1_GL834416_random-207087	0.040706	NA	NA	0.369900582790538	0.630167980802194
chr1_GL834416_random	383848	383849	chr1_GL834416_random-383849	-0.11525	NA	NA	0.812067192320878	0.188001371271855
chr1_GL834416_random	726592	726593	chr1_GL834416_random-726593	0.025596	NA	NA	0.236887212889955	0.763181350702777
chr1_GL834416_random	726593	726594	chr1_GL834416_random-726594	-0.063455	NA	NA	0.55978745286253	0.440281110730202
chr1_GL834416_random	733365	733366	chr1_GL834416_random-733366	0.035818	NA	NA	0.33003085361673	0.670037709976003
chr1_GL834416_random	751693	751694	chr1_GL834416_random-751694	0.051828	NA	NA	0.466300994172095	0.533767569420638
chr1_GL834416_random	762216	762217	chr1_GL834416_random-762217	-0.118462	NA	NA	0.820397668837847	0.179670894754885
chr1_GL834416_random	762254	762255	chr1_GL834416_random-762255	0.021171	NA	NA	0.196983201919781	0.803085361672952
chr1_GL834416_random	765903	765904	chr1_GL834416_random-765904	-0.039176	NA	NA	0.357627699691464	0.642440863901268
chr1_GL834416_random	765960	765961	chr1_GL834416_random-765961	-0.041106	NA	NA	0.373808707576277	0.626259856016455
chr1_GL834416_random	766108	766109	chr1_GL834416_random-766109	-0.048247	NA	NA	0.43277339732602	0.567295166266712
chr1_GL834416_random	768089	768090	chr1_GL834416_random-768090	-0.052207	NA	NA	0.469729173808708	0.530339389784025
chr1_GL834416_random	768173	768174	chr1_GL834416_random-768174	-0.053267	NA	NA	0.478436750085704	0.521631813507028
chr1_GL834416_random	768585	768586	chr1_GL834416_random-768586	-0.058799	NA	NA	0.525471374700034	0.474597188892698
chr1_GL834416_random	793557	793558	chr1_GL834416_random-793558	-0.091338	NA	NA	0.726979773740144	0.273088789852588
chr1_GL834416_random	797087	797088	chr1_GL834416_random-797088	-0.055661	NA	NA	0.500788481316421	0.499280082276311
chr1_GL834416_random	797278	797279	chr1_GL834416_random-797279	-0.025108	NA	NA	0.232430579362359	0.767637984230374
chr1_GL834416_random	802262	802263	chr1_GL834416_random-802263	-0.068324	NA	NA	0.593417895097703	0.406650668495029
chr1_GL834416_random	802452	802453	chr1_GL834416_random-802453	-0.123823	NA	NA	0.834761741515255	0.165306822077477
chr1_GL834416_random	802555	802556	chr1_GL834416_random-802556	-0.065663	NA	NA	0.574974288652725	0.425094274940007
chr1_GL834416_random	802861	802862	chr1_GL834416_random-802862	-0.103327	NA	NA	0.775865615358245	0.224202948234487
chr1_GL834416_random	807141	807142	chr1_GL834416_random-807142	0.053317	NA	NA	0.478711004456634	0.521357559136099
chr1_GL834416_random	807164	807165	chr1_GL834416_random-807165	0.008627	NA	NA	0.0789166952348303	0.921151868357902
chr1_GL834417_random	472303	472304	chr1_GL834417_random-472304	-0.017048	NA	NA	0.159958861844361	0.840109701748372
chr1_GL834417_random	968175	968176	chr1_GL834417_random-968176	-0.038899	NA	NA	0.355845046280425	0.644223517312307
