scaffold	start	end	snp	score	p	q	quantile	adjp
chr1_GL834412_random	55620	55621	chr1_GL834412_random-55621	0.053417	NA	NA	0.673574844703425	0.326480127535595
chr1_GL834412_random	55671	55672	chr1_GL834412_random-55672	0.056962	NA	NA	0.701940520037381	0.298114452201638
chr1_GL834412_random	208349	208350	chr1_GL834412_random-208350	0.059321	NA	NA	0.720136331152768	0.279918641086251
chr1_GL834412_random	239269	239270	chr1_GL834412_random-239270	0.27026	NA	NA	0.984882634269694	0.0151723379693255
chr1_GL834412_random	239580	239581	chr1_GL834412_random-239581	-0.004472	NA	NA	0.0681655763839261	0.931889395855093
chr1_GL834412_random	239679	239680	chr1_GL834412_random-239680	-0.011631	NA	NA	0.172722774998626	0.827332197240394
chr1_GL834412_random	263367	263368	chr1_GL834412_random-263368	-0.013326	NA	NA	0.197570227035347	0.802484745203672
chr1_GL834412_random	756639	756640	chr1_GL834412_random-756640	-0.007825	NA	NA	0.117585619262273	0.882469352976747
chr1_GL834412_random	756707	756708	chr1_GL834412_random-756708	0.056948	NA	NA	0.701885547798362	0.298169424440657
chr1_GL834412_random	756748	756749	chr1_GL834412_random-756749	0.076824	NA	NA	0.818646583475345	0.181408388763674
chr1_GL834412_random	756750	756751	chr1_GL834412_random-756751	0.069676	NA	NA	0.785663240063768	0.214391732175252
chr1_GL834412_random	756758	756759	chr1_GL834412_random-756759	0.088921	NA	NA	0.864328514100379	0.13572645813864
chr1_GL834412_random	830668	830669	chr1_GL834412_random-830669	0.011136	NA	NA	0.165796272882194	0.834258699356825
chr1_GL834412_random	875938	875939	chr1_GL834412_random-875939	0.011653	NA	NA	0.173272497388819	0.826782474850201
chr1_GL834412_random	879295	879296	chr1_GL834412_random-879296	0.001064	NA	NA	0.0146775878181518	0.985377384420867
chr1_GL834412_random	1188639	1188640	chr1_GL834412_random-1188640	-0.0589	NA	NA	0.717002913528668	0.283052058710351
chr1_GL834413_random	106275	106276	chr1_GL834413_random-106276	0.052787	NA	NA	0.668297509757572	0.331757462481447
chr1_GL834413_random	106558	106559	chr1_GL834413_random-106559	0.01756	NA	NA	0.258424495629707	0.741630476609312
chr1_GL834413_random	157661	157662	chr1_GL834413_random-157662	-0.024549	NA	NA	0.354515969435435	0.645539002803584
chr1_GL834414_random	69623	69624	chr1_GL834414_random-69624	0.161441	NA	NA	0.959595404320818	0.0404595679182013
chr1_GL834414_random	69624	69625	chr1_GL834414_random-69625	0.162614	NA	NA	0.960419987906107	0.0396349843329119
chr1_GL834414_random	69759	69760	chr1_GL834414_random-69760	-0.064052	NA	NA	0.752514979935133	0.247539992303887
chr1_GL834414_random	69906	69907	chr1_GL834414_random-69907	0.015056	NA	NA	0.223407179374416	0.776647792864603
chr1_GL834414_random	78681	78682	chr1_GL834414_random-78682	-0.041133	NA	NA	0.553515474685284	0.446539497553735
chr1_GL834414_random	78845	78846	chr1_GL834414_random-78846	0.019901	NA	NA	0.290693199934033	0.709361772304986
chr1_GL834414_random	303260	303261	chr1_GL834414_random-303261	-0.009735	NA	NA	0.145016766532901	0.855038205706118
chr1_GL834414_random	303296	303297	chr1_GL834414_random-303297	0.079337	NA	NA	0.82914628112803	0.170908691110989
chr1_GL834414_random	303465	303466	chr1_GL834414_random-303466	0.109488	NA	NA	0.911384750700896	0.0886702215381232
chr1_GL834414_random	303489	303490	chr1_GL834414_random-303490	0.068311	NA	NA	0.77846187675224	0.221593095486779
chr1_GL834414_random	303533	303534	chr1_GL834414_random-303534	0.067224	NA	NA	0.771975152547963	0.228079819691056
chr1_GL834414_random	303560	303561	chr1_GL834414_random-303561	0.05598	NA	NA	0.694024517618603	0.306030454620417
chr1_GL834414_random	303574	303575	chr1_GL834414_random-303575	0.064467	NA	NA	0.755510966961684	0.244544005277335
chr1_GL834414_random	935172	935173	chr1_GL834414_random-935173	0.071224	NA	NA	0.793249409048431	0.206805563190589
chr1_GL834414_random	959639	959640	chr1_GL834414_random-959640	0.068872	NA	NA	0.781375405420263	0.218679566818757
chr1_GL834414_random	959732	959733	chr1_GL834414_random-959733	0.062992	NA	NA	0.745643450057721	0.254411522181298
chr1_GL834414_random	959982	959983	chr1_GL834414_random-959983	0.211193	NA	NA	0.975922159309549	0.0241328129294706
chr1_GL834415_random	157648	157649	chr1_GL834415_random-157649	0.020354	NA	NA	0.296795118465175	0.703259853773844
chr1_GL834416_random	155217	155218	chr1_GL834416_random-155218	0.196535	NA	NA	0.973173547358584	0.0268814248804354
chr1_GL834416_random	155408	155409	chr1_GL834416_random-155409	-0.01089	NA	NA	0.16222307734594	0.837831894893079
chr1_GL834416_random	155549	155550	chr1_GL834416_random-155550	0.003623	NA	NA	0.0546698917046891	0.94538508053433
chr1_GL834416_random	155612	155613	chr1_GL834416_random-155613	0.004007	NA	NA	0.0604419768017151	0.939612995437304
chr1_GL834416_random	207086	207087	chr1_GL834416_random-207087	0.034467	NA	NA	0.480787202462756	0.519267769776263
chr1_GL834416_random	207263	207264	chr1_GL834416_random-207264	-0.020046	NA	NA	0.292727172777747	0.707327799461272
