ensembl_gene_id,likelihood,p0,f0,p1,f1,p2,f2,p3,f3,pval,p2a_2b,ID
ENSSHAG00000000002,-3557.704313,0.93733,0.01741,0.05401,1,0.00818,15.64547,0.00047,15.64547,0.0430766386950395,0.00865,sig_wg
ENSSHAG00000000020,-5090.763985,0.89008,0.04368,0.10437,1,0.00497,12.19018,0.00058,12.19018,4.00282084117685e-06,0.00555,sig_wg
ENSSHAG00000000027,-3605.927025,0.87405,0.0367,0.11084,1,0.01342,601.14454,0.0017,601.14454,0.00937968779941698,0.01512,sig_wg
ENSSHAG00000000038,-4510.358854,0.92296,0.027,0.04428,1,0.03126,222.99055,0.0015,222.99055,1.52297456142951e-24,0.03276,sig_wg
ENSSHAG00000000063,-4842.630056,0.88694,0.01274,0.03135,1,0.07891,744.84023,0.00279,744.84023,4.93823604921546e-13,0.0817,sig_wg
ENSSHAG00000000065,-4001.773644,0.63283,0,0.31732,1,0.0332,998.99908,0.01665,998.99908,7.13292598440434e-17,0.04985,sig_wg
ENSSHAG00000000069,-6184.294236,0.67249,0.07576,0.19662,1,0.10127,362.87427,0.02961,362.87427,2.75011690588735e-06,0.13088,sig_wg
ENSSHAG00000000070,-6934.278425,0.80745,0.01688,0.07688,1,0.10561,37.24545,0.01006,37.24545,1.6735394169571e-10,0.11567,sig_wg
ENSSHAG00000000072,-2219.895081,0.9936,0.02241,0,1,0.0064,59.25747,0,59.25747,0.0193087126114721,0.0064,sig_wg
ENSSHAG00000000076,-2768.919951,0.95509,0.03266,0.02944,1,0.015,39.47126,0.00046,39.47126,0.0153025887584605,0.01546,sig_wg
ENSSHAG00000000077,-3823.836522,0.95619,0.02898,0,1,0.04381,34.54395,0,34.54395,4.02795813096168e-10,0.04381,sig_wg
ENSSHAG00000000081,-4578.419798,0.55847,0.03027,0.41468,1,0.0154,998.99443,0.01144,998.99443,0.000362659815864696,0.02684,sig_wg
ENSSHAG00000000084,-4813.476853,0.87082,0.12998,0.11077,1,0.01633,999,0.00208,999,5.32269965390898e-11,0.01841,sig_wg
ENSSHAG00000000088,-5929.343175,0.89689,0.02016,0.08275,1,0.01864,998.99971,0.00172,998.99971,2.66756756035314e-07,0.02036,sig_wg
ENSSHAG00000000095,-4366.881922,0.84402,0,0.07229,1,0.07708,630.36511,0.0066,630.36511,1.66899163913071e-11,0.08368,sig_wg
ENSSHAG00000000106,-2528.504403,0.99515,0.03382,0,1,0.00485,25.70726,0,25.70726,0.0376532450046434,0.00485,sig_wg
ENSSHAG00000000110,-5725.346415,0.82148,0.02415,0.16475,1,0.01147,999,0.0023,999,0.00013133638505029,0.01377,sig_wg
ENSSHAG00000000111,-1821.059896,0.75897,0.00219,0.03512,1,0.1968,260.45945,0.00911,260.45945,5.48181737923344e-12,0.20591,sig_wg
ENSSHAG00000000118,-11351.834333,0.79735,0.04251,0.19578,1,0.00551,106.79077,0.00135,106.79077,0.000208871074242205,0.00686,sig_wg
ENSSHAG00000000132,-6910.285495,0.71903,0.03962,0.26979,1,0.00813,32.68328,0.00305,32.68328,0.0343907407709256,0.01118,sig_wg
ENSSHAG00000000140,-3129.039665,0.74492,0.03447,0.22908,1,0.01988,758.14352,0.00612,758.14352,0.00244452478635401,0.026,sig_wg
ENSSHAG00000000153,-4338.441822,0.81472,0,0.17137,1,0.01149,571.70781,0.00242,571.70781,8.85350512925231e-06,0.01391,sig_wg
ENSSHAG00000000156,-2175.782588,0.88232,0.04099,0.06174,1,0.05228,133.3276,0.00366,133.3276,1.02389359376026e-06,0.05594,sig_wg
ENSSHAG00000000166,-3457.734002,0.78497,0.01952,0.174,1,0.03358,999,0.00744,999,1.36448861189034e-09,0.04102,sig_wg
ENSSHAG00000000177,-12516.749709,0.67056,0.09889,0.30742,1,0.0151,20.6849,0.00692,20.6849,0.0366103218708797,0.02202,sig_wg
ENSSHAG00000000189,-3961.816745,0.83363,0.05177,0.13708,1,0.02515,396.94051,0.00414,396.94051,0.00211382926518583,0.02929,sig_wg
ENSSHAG00000000195,-6338.011422,0.4395,0.02822,0.51298,1,0.02193,921.64767,0.0256,921.64767,0.000703163578891561,0.04753,sig_wg
ENSSHAG00000000215,-6168.924155,0.72599,0.00891,0.08743,1,0.16653,494.50369,0.02006,494.50369,3.71153886841921e-41,0.18659,sig_wg
ENSSHAG00000000219,-1718.863053,0.82875,0.03267,0.12749,1,0.03793,355.27493,0.00583,355.27493,2.8336072257512e-08,0.04376,sig_wg
ENSSHAG00000000223,-1265.559168,0.47435,0.02623,0.23569,1,0.19371,89.93761,0.09625,89.93761,5.9972619537419e-12,0.28996,sig_wg
ENSSHAG00000000229,-1851.684105,0.9513,0.01475,0,1,0.0487,161.17814,0,161.17814,0.00359198053536894,0.0487,sig_wg
ENSSHAG00000000231,-3187.147728,0.81799,0.04623,0.16492,1,0.01423,999,0.00287,999,0.0237210693075824,0.0171,sig_wg
ENSSHAG00000000237,-9343.652455,0.90334,0.0344,0.08195,1,0.01349,999,0.00122,999,1.76537457509038e-07,0.01471,sig_wg
ENSSHAG00000000245,-2422.640161,0.50124,0.072,0.44587,1,0.02799,998.99977,0.0249,998.99977,4.50554590581713e-05,0.05289,sig_wg
