gene	description	total	composite.snps.afchange.top.genes.200000bp	composite.snps.timeseries.top.genes.200000bp
ENSSHAG00000012759	1	adenosine deaminase domain containing 2 [Source:HGNC Symbol;Acc:HGNC:30714]	0	1
ENSSHAG00000002815	1	Uncharacterized protein  [Source:UniProtKB/TrEMBL;Acc:G3VJ33]	0	1
ENSSHAG00000008440	1	lipocalin 2 [Source:HGNC Symbol;Acc:HGNC:6526]	0	1
ENSSHAG00000002818	2	Uncharacterized protein  [Source:UniProtKB/TrEMBL;Acc:G3VJ36]	1	1
ENSSHAG00000017462	1	tumor protein D52 [Source:HGNC Symbol;Acc:HGNC:12005]	1	0
ENSSHAG00000014690	1	N-acetylglucosaminidase, alpha [Source:HGNC Symbol;Acc:HGNC:7632]	1	0
ENSSHAG00000014692	1	transforming growth factor beta regulator 1 [Source:HGNC Symbol;Acc:HGNC:29551]	1	0
ENSSHAG00000003079	1	cylindromatosis (turban tumor syndrome) [Source:HGNC Symbol;Acc:HGNC:2584]	1	0
ENSSHAG00000018091	2	receptor accessory protein 4 [Source:HGNC Symbol;Acc:HGNC:26176]	1	1
ENSSHAG00000006555	1	dipeptidyl-peptidase 9 [Source:HGNC Symbol;Acc:HGNC:18648]	0	1
ENSSHAG00000006551	2	CD22 molecule [Source:HGNC Symbol;Acc:HGNC:1643]	1	1
ENSSHAG00000006552	1		0	1
ENSSHAG00000007790	2	olfactory receptor, family 6, subfamily N, member 1 [Source:HGNC Symbol;Acc:HGNC:15034]	1	1
ENSSHAG00000014218	1	retinol dehydrogenase 10 (all-trans) [Source:HGNC Symbol;Acc:HGNC:19975]	1	0
ENSSHAG00000003498	1	transient receptor potential cation channel, subfamily M, member 5 [Source:HGNC Symbol;Acc:HGNC:14323]	0	1
ENSSHAG00000014210	1	adaptor-related protein complex 4, epsilon 1 subunit [Source:HGNC Symbol;Acc:HGNC:573]	1	0
ENSSHAG00000003491	1	neurensin 1 [Source:HGNC Symbol;Acc:HGNC:17881]	1	0
ENSSHAG00000006314	1	leukotriene B4 receptor [Source:HGNC Symbol;Acc:HGNC:6713]	1	0
ENSSHAG00000010978	1	inositol polyphosphate-5-phosphatase F [Source:HGNC Symbol;Acc:HGNC:17054]	1	0
ENSSHAG00000012850	1	potassium voltage-gated channel, subfamily G, member 4 [Source:HGNC Symbol;Acc:HGNC:19697]	0	1
ENSSHAG00000009269	1	F-box and WD repeat domain containing 4 [Source:HGNC Symbol;Acc:HGNC:10847]	0	1
ENSSHAG00000012856	1	Uncharacterized protein  [Source:UniProtKB/TrEMBL;Acc:G3WI09]	0	1
ENSSHAG00000010202	1	acyl-CoA thioesterase 9 [Source:HGNC Symbol;Acc:HGNC:17152]	1	0
ENSSHAG00000011146	1	sema domain, immunoglobulin domain (Ig), transmembrane domain (TM) and short cytoplasmic domain, (semaphorin) 4B [Source:HGNC Symbol;Acc:HGNC:10730]	1	0
ENSSHAG00000010200	1	unc-45 homolog A (C. elegans) [Source:HGNC Symbol;Acc:HGNC:30594]	1	0
ENSSHAG00000010975	1	programmed cell death 7 [Source:HGNC Symbol;Acc:HGNC:8767]	0	1
ENSSHAG00000017525	2	Uncharacterized protein  [Source:UniProtKB/TrEMBL;Acc:G3WZ10]	1	1
ENSSHAG00000013084	1	stimulated by retinoic acid 8 [Source:HGNC Symbol;Acc:HGNC:30653]	0	1
ENSSHAG00000000788	1	transmembrane protein 130 [Source:HGNC Symbol;Acc:HGNC:25429]	0	1
ENSSHAG00000009262	1	ring finger protein 138, E3 ubiquitin protein ligase [Source:HGNC Symbol;Acc:HGNC:17765]	0	1
ENSSHAG00000013514	1	carbonic anhydrase VB, mitochondrial [Source:HGNC Symbol;Acc:HGNC:1378]	1	0
ENSSHAG00000010996	1	Uncharacterized protein  [Source:UniProtKB/TrEMBL;Acc:G3WBP7]	0	1
ENSSHAG00000010997	1	nucleolar protein 3 (apoptosis repressor with CARD domain) [Source:HGNC Symbol;Acc:HGNC:7869]	1	0
ENSSHAG00000011622	1	minichromosome maintenance complex component 7 [Source:HGNC Symbol;Acc:HGNC:6950]	0	1
ENSSHAG00000009642	1	transmembrane protein 109 [Source:HGNC Symbol;Acc:HGNC:28771]	1	0
ENSSHAG00000003783	2	CCCTC-binding factor (zinc finger protein) [Source:HGNC Symbol;Acc:HGNC:13723]	1	1
ENSSHAG00000007575	1	centrosomal protein 97kDa [Source:HGNC Symbol;Acc:HGNC:26244]	1	0
ENSSHAG00000014503	1	Uncharacterized protein  [Source:UniProtKB/TrEMBL;Acc:G3WNQ8]	1	0
ENSSHAG00000007570	1	membrane-spanning 4-domains, subfamily A, member 12 [Source:HGNC Symbol;Acc:HGNC:13370]	1	0
ENSSHAG00000014852	1	ras-related C3 botulinum toxin substrate 2 (rho family, small GTP binding protein Rac2) [Source:HGNC Symbol;Acc:HGNC:9802]	1	0
ENSSHAG00000017638	1	testis and ovary specific PAZ domain containing 1 [Source:HGNC Symbol;Acc:HGNC:24746]	0	1
ENSSHAG00000017634	1	leucine zipper-EF-hand containing transmembrane protein 2 [Source:HGNC Symbol;Acc:HGNC:14648]	0	1
ENSSHAG00000007579	2	olfactory receptor, family 6, subfamily N, member 2 [Source:HGNC Symbol;Acc:HGNC:15035]	1	1
ENSSHAG00000014859	1	endogenous retrovirus group MER34, member 1 [Source:HGNC Symbol;Acc:HGNC:42970]	1	0
