scaffold	start	end	snp	score	p	q	quantile	adjp	fdr
chr1_GL834412_random	55620	55621	chr1_GL834412_random-55621	0.2034021	0.3647086	1	0.752109811896289	0.23589134555857	0.938707243740491
chr1_GL834412_random	55671	55672	chr1_GL834412_random-55672	0.004011973	0.9814869	1	0.0239450940518556	0.975792344979716	0.984460681838538
chr1_GL834412_random	208349	208350	chr1_GL834412_random-208350	0.05429765	0.8013016	1	0.263701067615658	0.742084319911903	0.97966632330762
chr1_GL834412_random	239237	239238	chr1_GL834412_random-239238	0.1256448	0.6344793	1	0.465632943568887	0.534131131206022	0.971971702399516
chr1_GL834412_random	239269	239270	chr1_GL834412_random-239270	-0.202271	0.2101949	1	0.88713777325877	0.10130472427969	0.870961990406883
chr1_GL834412_random	239580	239581	chr1_GL834412_random-239581	-0.3833533	0.1429072	1	0.932740213523132	0.0553885319173659	0.793452346934947
chr1_GL834412_random	239673	239674	chr1_GL834412_random-239674	-0.3336209	0.09672297	1	0.95912557193696	0.0298561687239126	0.69186256742156
chr1_GL834412_random	239679	239680	chr1_GL834412_random-239680	-0.1615987	0.3247542	1	0.790899847483477	0.197844245230782	0.927771500114056
chr1_GL834412_random	263367	263368	chr1_GL834412_random-263368	0.02355642	0.8795682	1	0.165937976614133	0.842939325732756	0.982055526581849
chr1_GL834412_random	756639	756640	chr1_GL834412_random-756640	0.03392014	0.8275594	1	0.231367564819522	0.775754911280811	0.980531697146198
chr1_GL834412_random	756707	756708	chr1_GL834412_random-756708	-0.3275729	0.1306185	1	0.940315200813421	0.0480669410459122	0.770411311495804
chr1_GL834412_random	756748	756749	chr1_GL834412_random-756749	0.03123093	0.8604871	1	0.191052364006101	0.818223834511419	0.981523505865648
chr1_GL834412_random	756750	756751	chr1_GL834412_random-756751	-0.03513431	0.8464569	1	0.208693441789527	0.800097841784013	0.981112831848163
chr1_GL834412_random	756758	756759	chr1_GL834412_random-756759	-0.04074807	0.8215169	1	0.238027452974072	0.767989969203863	0.980338728421713
chr1_GL834412_random	830668	830669	chr1_GL834412_random-830669	0.03241622	0.8511971	1	0.20310116929334	0.80621705280711	0.981253498618191
chr1_GL834412_random	875938	875939	chr1_GL834412_random-875939	-0.3990003	0.5969863	1	0.51067615658363	0.489300726971677	0.969482081045083
chr1_GL834412_random	879295	879296	chr1_GL834412_random-879296	-0.7905922	0.2025567	1	0.892933401118455	0.095638298088342	0.864923284716964
chr1_GL834412_random	1188639	1188640	chr1_GL834412_random-1188640	-0.6180806	0.2577599	1	0.847839349262837	0.138899196287005	0.900179368685758
chr1_GL834413_random	106558	106559	chr1_GL834413_random-106559	-0.1065363	0.5907038	1	0.517539400101678	0.481874179209836	0.969026313067489
chr1_GL834413_random	157661	157662	chr1_GL834413_random-157662	0.0209353	0.9137184	1	0.113065582104728	0.887327644056907	0.982937877759117
chr1_GL834414_random	69494	69495	chr1_GL834414_random-69495	0.01146987	0.9711331	1	0.0377224199288256	0.962257200601693	0.984245548785127
chr1_GL834414_random	69623	69624	chr1_GL834414_random-69624	0.1108451	0.6677094	1	0.425622775800712	0.574539427295558	0.97389151130174
chr1_GL834414_random	69624	69625	chr1_GL834414_random-69625	0.1173586	0.5628896	1	0.54707676664972	0.449311025764961	0.966855941683979
chr1_GL834414_random	69759	69760	chr1_GL834414_random-69760	0.03135521	0.8724137	1	0.175216065073716	0.833664093868044	0.981859500552292
chr1_GL834414_random	69906	69907	chr1_GL834414_random-69907	0.06063012	0.7515522	1	0.326893746822572	0.678872249327025	0.977814990211445
chr1_GL834414_random	78681	78682	chr1_GL834414_random-78682	0.1184524	0.5425378	1	0.568276563294357	0.425828441090503	0.965091994286793
chr1_GL834414_random	78845	78846	chr1_GL834414_random-78846	0.1499275	0.4396256	1	0.67956278596848	0.312204069798542	0.952984788065762
