scaffold	start	end	snp	score	p	q	quantile	adjp	fdr
chr1_GL834412_random	55620	55621	chr1_GL834412_random-55621	0.316547	0.3363069	0.992256096567886	0.807543716958113	0.11461030259321	0.541122321774103
chr1_GL834412_random	55671	55672	chr1_GL834412_random-55672	0.08722076	0.731084	0.996422758261463	0.440829605530704	0.572763189796239	0.854929146415734
chr1_GL834412_random	208349	208350	chr1_GL834412_random-208350	0.1276556	0.7016961	0.996273497257854	0.477074013826759	0.529639186531472	0.844948711319865
chr1_GL834412_random	239237	239238	chr1_GL834412_random-239238	-0.0408509	0.8832611	0.997037255415065	0.181933712891419	0.809586718056957	0.892817372397576
chr1_GL834412_random	239269	239270	chr1_GL834412_random-239270	-0.3016573	0.1142531	0.97754360307288	0.935085400569337	0.00954922005604648	0.132658886222814
chr1_GL834412_random	239580	239581	chr1_GL834412_random-239581	-0.3544655	0.9211613	0.997158808045225	0.119408296055307	0.870981582618136	0.899614160909277
chr1_GL834412_random	239673	239674	chr1_GL834412_random-239674	0.1586253	0.8263843	0.996833986885149	0.294886132574217	0.718892213720413	0.880905746790867
chr1_GL834412_random	239679	239680	chr1_GL834412_random-239680	-0.5660819	0.006835208	0.72254844361103	0.990341602277348	9.05731436012542e-06	0.000848054741522374
chr1_GL834412_random	263367	263368	chr1_GL834412_random-263368	-7.75393e-05	0.9989549	0.997379486023068	0.00279585197234648	0.998284987574653	0.911279831031193
chr1_GL834412_random	756639	756640	chr1_GL834412_random-756640	0.02254724	0.9086902	0.99711992709331	0.139080927206181	0.850713545049619	0.897467716517721
chr1_GL834412_random	756707	756708	chr1_GL834412_random-756708	-0.1008239	0.8678685	0.996984866327191	0.209638064253762	0.784846941174571	0.889811067589122
chr1_GL834412_random	756748	756749	chr1_GL834412_random-756749	-0.3378369	0.1193088	0.978474707728312	0.932645384302562	0.0105834042615769	0.141193701743559
chr1_GL834412_random	756750	756751	chr1_GL834412_random-756751	-0.2666034	0.2214148	0.988284861525431	0.877389182594551	0.0447945986142779	0.331439067496216
chr1_GL834412_random	756758	756759	chr1_GL834412_random-756759	-0.2803184	0.1976184	0.986892662811339	0.890250101667344	0.0344969409803499	0.285345338070111
chr1_GL834412_random	830668	830669	chr1_GL834412_random-830669	-0.2394958	0.2613745	0.990058099860462	0.852684017893453	0.0653157417054056	0.403042768625755
chr1_GL834412_random	875938	875939	chr1_GL834412_random-875939	-0.6596806	0.8480901	0.996914767014103	0.250965839772265	0.753259805168303	0.885718469163202
chr1_GL834412_random	879295	879296	chr1_GL834412_random-879296	-0.4031901	0.8798573	0.997025827883906	0.18818625457503	0.804105051304947	0.892165489392196
chr1_GL834412_random	1188639	1188640	chr1_GL834412_random-1188640	-0.5222088	0.5812733	0.995504945335479	0.601870679137861	0.365435722644389	0.789915206715336
chr1_GL834413_random	106558	106559	chr1_GL834413_random-106559	0.2555496	0.5443966	0.995201917287899	0.637098413989427	0.319862535355595	0.766958349892851
chr1_GL834413_random	157661	157662	chr1_GL834413_random-157662	-0.02875753	0.9216462	0.997160298619091	0.118849125660838	0.87177077554253	0.899695922452966
chr1_GL834414_random	69494	69495	chr1_GL834414_random-69495	-0.04926022	0.9119946	0.99713033242086	0.133997559983733	0.856078182328269	0.898044729430495
chr1_GL834414_random	69623	69624	chr1_GL834414_random-69624	0.1038142	0.8229963	0.996820994903306	0.300782838552257	0.713558690998831	0.880122284186013
chr1_GL834414_random	69624	69625	chr1_GL834414_random-69625	0.3054517	0.3372755	0.992278164062688	0.807137047580317	0.115338244545748	0.54269404256641
chr1_GL834414_random	69759	69760	chr1_GL834414_random-69760	0.3659863	0.2516599	0.989678282911798	0.859902399349329	0.0599546358894573	0.386530151049683
chr1_GL834414_random	69906	69907	chr1_GL834414_random-69907	0.2154829	0.4218083	0.993816094630926	0.739324928832859	0.187437113846942	0.658533850386315
chr1_GL834414_random	78681	78682	chr1_GL834414_random-78682	0.2538907	0.3443184	0.992434916353355	0.801443676291175	0.120699675252151	0.553946550216973
chr1_GL834414_random	78845	78846	chr1_GL834414_random-78846	0.2040371	0.4565983	0.994284577458891	0.711976413176088	0.221835610117361	0.695351874924984
chr1_GL834414_random	303260	303261	chr1_GL834414_random-303261	-0.08554231	0.7840743	0.996663713346152	0.367476616510777	0.652957687381779	0.870437921631139
chr1_GL834414_random	303296	303297	chr1_GL834414_random-303297	-0.1622254	0.4786756	0.994546744572295	0.694057543716958	0.24501476616392	0.715987093042753
chr1_GL834414_random	303465	303466	chr1_GL834414_random-303466	-0.1622254	0.4786756	0.994546744572295	0.694057543716958	0.24501476616392	0.715987093042753
chr1_GL834414_random	303489	303490	chr1_GL834414_random-303490	-0.244336	0.2137813	0.98787162192543	0.881659211061407	0.0413350544372824	0.316874885186436
chr1_GL834414_random	303533	303534	chr1_GL834414_random-303534	0.1900272	0.3190232	0.991839979057975	0.817710451403009	0.102005739943815	0.512085911093326
chr1_GL834414_random	303560	303561	chr1_GL834414_random-303561	0.07645149	0.7626604	0.996570358708587	0.398637657584384	0.62020117234387	0.864522045301766
chr1_GL834414_random	303574	303575	chr1_GL834414_random-303575	0.4470674	0.03637032	0.932692524148418	0.973312322082147	0.000594234625453203	0.0201570019646507
chr1_GL834414_random	935172	935173	chr1_GL834414_random-935173	-0.1641799	0.442407	0.994102322387097	0.723058153721025	0.207484524034905	0.681002069835596
chr1_GL834414_random	959639	959640	chr1_GL834414_random-959640	-0.2564455	0.2190789	0.98816142916918	0.878660024400163	0.0437202687779054	0.327026055675296
chr1_GL834414_random	959732	959733	chr1_GL834414_random-959733	-0.2822113	0.1737881	0.985122089132799	0.903517690117934	0.0256161319843399	0.240839590236727
chr1_GL834414_random	959982	959983	chr1_GL834414_random-959983	0.1278798	0.7524665	0.996524057781592	0.411498576657178	0.604769337546827	0.861543708906856
chr1_GL834415_random	157521	157522	chr1_GL834415_random-157522	0.3390234	0.388609	0.993291340873598	0.766165107767385	0.15713313053911	0.61784643016905
chr1_GL834415_random	157648	157649	chr1_GL834415_random-157649	0.3009472	0.4116806	0.993664928943501	0.748169987799919	0.17792698201941	0.646730221726571
chr1_GL834416_random	155217	155218	chr1_GL834416_random-155218	-0.1921527	0.6483127	0.995967886609607	0.534261895079301	0.454174200036573	0.823726937221153
chr1_GL834416_random	155408	155409	chr1_GL834416_random-155409	-0.2989393	0.5870909	0.995549289477114	0.596228141520943	0.372844477117135	0.793226589368236
