ensembl_gene_id,likelihood,treelength,p0,b0,f0,p1,b1,f1,p2,b2,f2,p3,b3,f3,FDR,p2a_2b
ENSSHAG00000000020,-5090.763985,29.18415,0.89008,0.04368,0.04368,0.10437,1,1,0.00497,0.04368,12.19018,0.00058,1,12.19018,2.08273334192457e-05,0.00555
ENSSHAG00000000027,-3605.927025,28.29342,0.87405,0.0367,0.0367,0.11084,1,1,0.01342,0.0367,601.14454,0.0017,1,601.14454,0.0334362059660905,0.01512
ENSSHAG00000000038,-4510.358854,1.93129,0.92296,0.027,0.027,0.04428,1,1,0.03126,0.027,222.99055,0.0015,1,222.99055,4.04981618483958e-23,0.03276
ENSSHAG00000000063,-4842.630056,50.66742,0.88694,0.01274,0.01274,0.03135,1,1,0.07891,0.01274,744.84023,0.00279,1,744.84023,4.99337169442515e-12,0.0817
ENSSHAG00000000065,-4001.773644,4.61401,0.63283,0,0,0.31732,1,1,0.0332,0,998.99908,0.01665,1,998.99908,1.05875663839769e-15,0.04985
ENSSHAG00000000069,-6184.294236,45.34414,0.67249,0.07576,0.07576,0.19662,1,1,0.10127,0.07576,362.87427,0.02961,1,362.87427,1.4539323642039e-05,0.13088
ENSSHAG00000000070,-6934.278425,54.84837,0.80745,0.01688,0.01688,0.07688,1,1,0.10561,0.01688,37.24545,0.01006,1,37.24545,1.32379086285632e-09,0.11567
ENSSHAG00000000077,-3823.836522,33.26139,0.95619,0.02898,0.02898,0,1,1,0.04381,0.02898,34.54395,0,1,34.54395,3.05469785926936e-09,0.04381
ENSSHAG00000000081,-4578.419798,11.16392,0.55847,0.03027,0.03027,0.41468,1,1,0.0154,0.03027,998.99443,0.01144,1,998.99443,0.0015554297799166,0.02684
ENSSHAG00000000084,-4813.476853,5.88701,0.87082,0.12998,0.12998,0.11077,1,1,0.01633,0.12998,999,0.00208,1,999,4.46754581632132e-10,0.01841
ENSSHAG00000000088,-5929.343175,55.53012,0.89689,0.02016,0.02016,0.08275,1,1,0.01864,0.02016,998.99971,0.00172,1,998.99971,1.54778362902941e-06,0.02036
ENSSHAG00000000095,-4366.881922,14.82218,0.84402,0,0,0.07229,1,1,0.07708,0,630.36511,0.0066,1,630.36511,1.48357450255018e-10,0.08368
ENSSHAG00000000110,-5725.346415,8.33763,0.82148,0.02415,0.02415,0.16475,1,1,0.01147,0.02415,999,0.0023,1,999,0.000589598469956365,0.01377
ENSSHAG00000000111,-1821.059896,48.22569,0.75897,0.00219,0.00219,0.03512,1,1,0.1968,0.00219,260.45945,0.00911,1,260.45945,5.10519773514602e-11,0.20591
ENSSHAG00000000118,-11351.834333,0.80089,0.79735,0.04251,0.04251,0.19578,1,1,0.00551,0.04251,106.79077,0.00135,1,106.79077,0.000920476264414341,0.00686
ENSSHAG00000000140,-3129.039665,45.4431,0.74492,0.03447,0.03447,0.22908,1,1,0.01988,0.03447,758.14352,0.00612,1,758.14352,0.00948809651548213,0.026
ENSSHAG00000000153,-4338.441822,2.26839,0.81472,0,0,0.17137,1,1,0.01149,0,571.70781,0.00242,1,571.70781,4.44025309411699e-05,0.01391
ENSSHAG00000000156,-2175.782588,35.27777,0.88232,0.04099,0.04099,0.06174,1,1,0.05228,0.04099,133.3276,0.00366,1,133.3276,5.65221825742742e-06,0.05594
ENSSHAG00000000166,-3457.734002,15.27019,0.78497,0.01952,0.01952,0.174,1,1,0.03358,0.01952,999,0.00744,1,999,9.92629724761666e-09,0.04102
ENSSHAG00000000189,-3961.816745,29.29923,0.83363,0.05177,0.05177,0.13708,1,1,0.02515,0.05177,396.94051,0.00414,1,396.94051,0.00827133317354181,0.02929
ENSSHAG00000000195,-6338.011422,19.15105,0.4395,0.02822,0.02822,0.51298,1,1,0.02193,0.02822,921.64767,0.0256,1,921.64767,0.00293721203508915,0.04753
ENSSHAG00000000215,-6168.924155,44.8555,0.72599,0.00891,0.00891,0.08743,1,1,0.16653,0.00891,494.50369,0.02006,1,494.50369,2.72863604573548e-39,0.18659
