scaffold	start	end	snp	score	p	q	quantile	adjp	fdr
chr1_GL834412_random	55620	55621	chr1_GL834412_random-55621	-0.04739364	0.8465133	1	0.258954575647642	0.751368800290564	0.917730408190271
chr1_GL834412_random	55671	55672	chr1_GL834412_random-55672	-0.1567528	0.6695694	1	0.511930918195289	0.484871470625456	0.878028254666063
chr1_GL834412_random	208349	208350	chr1_GL834412_random-208350	-0.1122094	0.8115463	1	0.31411271779674	0.696339608455467	0.911802355052678
chr1_GL834412_random	239237	239238	chr1_GL834412_random-239238	0.06097499	0.8797304	1	0.203311021409228	0.804392299074502	0.922734399319457
chr1_GL834412_random	239269	239270	chr1_GL834412_random-239270	-0.08435424	0.772933	1	0.371314700321905	0.636723502406745	0.904334449973563
chr1_GL834412_random	239580	239581	chr1_GL834412_random-239581	-0.7004085	0.3759747	1	0.79817076286342	0.147302593158319	0.68621747212334
chr1_GL834412_random	239673	239674	chr1_GL834412_random-239674	-0.432566	0.3440261	1	0.823514383526647	0.121427073901098	0.643208962911561
chr1_GL834412_random	239679	239680	chr1_GL834412_random-239680	-0.5726351	0.1013444	1	0.957641408206019	0.00732503214989531	0.160022620955517
chr1_GL834412_random	263367	263368	chr1_GL834412_random-263368	-0.2650665	0.3516931	1	0.816922998313832	0.127415316253669	0.654178490592647
chr1_GL834412_random	756639	756640	chr1_GL834412_random-756640	-0.1575006	0.5488186	1	0.648612743344745	0.326436742919492	0.82895535448583
chr1_GL834412_random	756707	756708	chr1_GL834412_random-756708	-0.3575911	0.4553809	1	0.738132951816463	0.221770572111147	0.767035837762645
chr1_GL834412_random	756748	756749	chr1_GL834412_random-756749	0.04835833	0.8524905	1	0.248582085739104	0.760860948662853	0.918673295212651
chr1_GL834412_random	756750	756751	chr1_GL834412_random-756751	0.03695861	0.8847552	1	0.193909355679321	0.81246677632934	0.923443495778655
chr1_GL834412_random	756758	756759	chr1_GL834412_random-756759	0.05784003	0.8244763	1	0.293802054059578	0.71658293275396	0.914079845134456
chr1_GL834412_random	830668	830669	chr1_GL834412_random-830669	0.04688613	0.8548433	1	0.244290020949364	0.764603588139598	0.91903915009112
chr1_GL834412_random	875938	875939	chr1_GL834412_random-875939	-0.2888788	0.5925418	1	0.602421950845639	0.381058919196661	0.849790582879859
chr1_GL834412_random	879295	879296	chr1_GL834412_random-879296	-0.6467294	0.2279308	1	0.8957130448112	0.0484378485692268	0.432449206894307
chr1_GL834412_random	1188639	1188640	chr1_GL834412_random-1188640	-0.3384566	0.5215029	1	0.676562260487456	0.294066602087444	0.813636067195946
chr1_GL834413_random	106558	106559	chr1_GL834413_random-106559	-0.2900155	0.6170177	1	0.575187777834551	0.413051047407861	0.85979359442216
chr1_GL834413_random	157661	157662	chr1_GL834413_random-157662	-0.1458877	0.6343815	1	0.55551581421491	0.436324991047011	0.866272208751837
chr1_GL834414_random	69494	69495	chr1_GL834414_random-69495	0.5056211	0.5658404	1	0.629886055899034	0.347302367629441	0.837562323995473
chr1_GL834414_random	69623	69624	chr1_GL834414_random-69624	0.370419	0.4671038	1	0.727709365898523	0.23393470930461	0.776441393105955
chr1_GL834414_random	69624	69625	chr1_GL834414_random-69625	0.3533958	0.3375152	1	0.82760206427878	0.116452756617357	0.633553328310479
chr1_GL834414_random	69759	69760	chr1_GL834414_random-69760	0.5570567	0.1241588	1	0.948393030504318	0.011846976976564	0.211302981768934
chr1_GL834414_random	69906	69907	chr1_GL834414_random-69907	0.4209103	0.2594245	1	0.878800265699249	0.0649050390526759	0.49881802570303
chr1_GL834414_random	78681	78682	chr1_GL834414_random-78682	0.5195314	0.1658119	1	0.927545858668438	0.0233130951922288	0.299249444833971
chr1_GL834414_random	78845	78846	chr1_GL834414_random-78846	0.4870771	0.1937926	1	0.912472535894947	0.0334256801680355	0.356579867141518
chr1_GL834414_random	303260	303261	chr1_GL834414_random-303261	-0.2334621	0.6548607	1	0.531756169843135	0.464361021623003	0.873323318834785
chr1_GL834414_random	303296	303297	chr1_GL834414_random-303297	-1.150545	0.003188323	0.999999999999983	0.996678759388892	1.38678031568623e-06	0.000379964681218718
chr1_GL834414_random	303465	303466	chr1_GL834414_random-303466	-0.9650256	0.01217436	0.999999999999998	0.99325532675898	4.0685260262779e-05	0.00522207706627026
chr1_GL834414_random	303489	303490	chr1_GL834414_random-303490	-0.06763892	0.8223705	1	0.297480966736498	0.71327727054152	0.913716008543774
chr1_GL834414_random	303533	303534	chr1_GL834414_random-303534	0.1726983	0.5579214	1	0.63956874968065	0.337530327673385	0.833641848817349
chr1_GL834414_random	303560	303561	chr1_GL834414_random-303561	0.08386966	0.8193325	1	0.303203719789484	0.708514200656039	0.913186310932728
chr1_GL834414_random	303574	303575	chr1_GL834414_random-303575	0.03834183	0.8784739	1	0.205763629860508	0.802375217417009	0.922555204882742
chr1_GL834414_random	935172	935173	chr1_GL834414_random-935173	0.1424209	0.5979612	1	0.596494813755046	0.38805806395139	0.852099112956013
chr1_GL834414_random	959639	959640	chr1_GL834414_random-959640	0.08806769	0.7166743	1	0.453732563486792	0.552506500412996	0.891336948729388
chr1_GL834414_random	959732	959733	chr1_GL834414_random-959733	0.07639584	0.750341	1	0.400899289765469	0.602495771597732	0.899446183633795
chr1_GL834414_random	959982	959983	chr1_GL834414_random-959983	0.4236753	0.353734	1	0.815620050074089	0.129033053126102	0.657027161211662
chr1_GL834415_random	157521	157522	chr1_GL834415_random-157522	0.1260203	0.8222724	1	0.297634254764703	0.713123356088725	0.91369899291056
chr1_GL834415_random	157648	157649	chr1_GL834415_random-157649	-0.1704945	0.7351194	1	0.427060446579122	0.579736339493589	0.895909521214972
chr1_GL834416_random	155217	155218	chr1_GL834416_random-155218	-0.04703058	0.9137281	1	0.145955750855858	0.859251395146191	0.92730885044056
chr1_GL834416_random	155408	155409	chr1_GL834416_random-155409	-0.1576386	0.7724312	1	0.371876756425323	0.63595772567409	0.904230288157796
chr1_GL834416_random	155411	155412	chr1_GL834416_random-155412	-0.2718952	0.6438592	1	0.543712636043125	0.449222856291466	0.869611103570268
chr1_GL834416_random	155443	155444	chr1_GL834416_random-155444	0.2246079	0.8572668	1	0.239589188084411	0.768462296739389	0.919412920641286
chr1_GL834416_random	155549	155550	chr1_GL834416_random-155550	-0.07797176	0.8253713	1	0.292115885749323	0.71798890534954	0.914233664629974
chr1_GL834416_random	155612	155613	chr1_GL834416_random-155613	-0.05999196	0.865454	1	0.227990393950232	0.781524258377589	0.920652936673146
chr1_GL834416_random	207086	207087	chr1_GL834416_random-207087	0.349747	0.3476246	1	0.820295334934342	0.124220100140486	0.648410686135836
chr1_GL834416_random	207263	207264	chr1_GL834416_random-207264	-0.2036006	0.696494	1	0.480506872413265	0.523181817779508	0.885941005430786
