scaffold	start	end	snp	score	p	q	quantile	adjp
chr1_GL834412_random	55620	55621	chr1_GL834412_random-55621	-0.438721842261	NA	NA	0.810802673571386	0.189257542000361
chr1_GL834412_random	55671	55672	chr1_GL834412_random-55672	-0.389716867817	NA	NA	0.774673330523273	0.225386885048474
chr1_GL834412_random	208349	208350	chr1_GL834412_random-208350	-0.303466739739	NA	NA	0.703197446859758	0.296862768711989
chr1_GL834412_random	239580	239581	chr1_GL834412_random-239581	0.0587810789293	NA	NA	0.204371650508822	0.795688565062925
chr1_GL834412_random	239673	239674	chr1_GL834412_random-239674	-0.580013111402	NA	NA	0.923526223881496	0.0765339916902511
chr1_GL834412_random	239679	239680	chr1_GL834412_random-239680	-0.670143922324	NA	NA	0.955380261335581	0.0446799542361655
chr1_GL834412_random	263367	263368	chr1_GL834412_random-263368	-0.103746436854	NA	NA	0.348407298127296	0.651652917444451
chr1_GL834412_random	756639	756640	chr1_GL834412_random-756640	-0.567311002476	NA	NA	0.91750466670681	0.0825555488649365
chr1_GL834412_random	756640	756641	chr1_GL834412_random-756641	-0.468317342178	NA	NA	0.842656711025471	0.157403504546276
chr1_GL834412_random	756707	756708	chr1_GL834412_random-756708	-0.260510245019	NA	NA	0.65893900162582	0.341121213945926
chr1_GL834412_random	756748	756749	chr1_GL834412_random-756749	-0.218245932532	NA	NA	0.599686879026916	0.40037333654483
chr1_GL834412_random	756750	756751	chr1_GL834412_random-756751	-0.226666572449	NA	NA	0.612271933522009	0.387788282049738
chr1_GL834412_random	756758	756759	chr1_GL834412_random-756759	-0.185946924357	NA	NA	0.543024026013127	0.45703618955862
chr1_GL834412_random	1188639	1188640	chr1_GL834412_random-1188640	-0.0903426273684	NA	NA	0.306256397904498	0.693803817667249
chr1_GL834413_random	106558	106559	chr1_GL834413_random-106559	-0.11256923579	NA	NA	0.372674173541278	0.627386042030469
chr1_GL834413_random	157661	157662	chr1_GL834413_random-157662	0.896262543743	NA	NA	0.982838562052147	0.0172216535196002
chr1_GL834414_random	69571	69572	chr1_GL834414_random-69572	-0.477200926995	NA	NA	0.851749262359246	0.148310953212501
chr1_GL834414_random	69623	69624	chr1_GL834414_random-69624	1.11649378011	NA	NA	0.992713915818631	0.00734629975311616
chr1_GL834414_random	69624	69625	chr1_GL834414_random-69625	1.11808787967	NA	NA	0.992894562533871	0.00716565303787559
chr1_GL834414_random	69759	69760	chr1_GL834414_random-69760	-0.061421823978	NA	NA	0.21472872884928	0.785331486722466
chr1_GL834414_random	69906	69907	chr1_GL834414_random-69907	-0.177365986817	NA	NA	0.52688625278497	0.473173962786777
chr1_GL834414_random	78681	78682	chr1_GL834414_random-78682	0.400433300159	NA	NA	0.783404588426567	0.21665562714518
chr1_GL834414_random	78845	78846	chr1_GL834414_random-78846	0.0674002647909	NA	NA	0.232793400373337	0.76726681519841
chr1_GL834414_random	303465	303466	chr1_GL834414_random-303466	-0.336487732827	NA	NA	0.732341783585235	0.267718431986512
chr1_GL834414_random	303489	303490	chr1_GL834414_random-303490	-0.305622412304	NA	NA	0.705606069729632	0.294454145842115
chr1_GL834414_random	303533	303534	chr1_GL834414_random-303534	-0.291733110411	NA	NA	0.693081230806286	0.30697898476546
chr1_GL834414_random	303560	303561	chr1_GL834414_random-303561	-0.301072658819	NA	NA	0.701089901848618	0.298970313723129
chr1_GL834414_random	303574	303575	chr1_GL834414_random-303575	-0.304254782442	NA	NA	0.704040464864214	0.296019750707533
chr1_GL834414_random	935172	935173	chr1_GL834414_random-935173	-0.300950453745	NA	NA	0.701029686276871	0.299030529294876
chr1_GL834414_random	959639	959640	chr1_GL834414_random-959640	-0.190814476136	NA	NA	0.551273559342446	0.448786656229301
chr1_GL834414_random	959732	959733	chr1_GL834414_random-959733	-0.216926940289	NA	NA	0.597759980731017	0.40230023484073
chr1_GL834415_random	157521	157522	chr1_GL834415_random-157522	0.256050845519	NA	NA	0.652736797735895	0.347323417835852
chr1_GL834415_random	157648	157649	chr1_GL834415_random-157649	0.32576720693	NA	NA	0.72306858553622	0.276991630035527
chr1_GL834416_random	155408	155409	chr1_GL834416_random-155409	-0.38829472067	NA	NA	0.773408803516589	0.226651412055157
chr1_GL834416_random	155438	155439	chr1_GL834416_random-155439	-0.132255590033	NA	NA	0.423797193954357	0.57626302161739
chr1_GL834416_random	155443	155444	chr1_GL834416_random-155444	-0.103416008915	NA	NA	0.347142771120612	0.652917444451135
chr1_GL834416_random	155549	155550	chr1_GL834416_random-155550	-0.203219939592	NA	NA	0.574336123321491	0.425724092250256
chr1_GL834416_random	155612	155613	chr1_GL834416_random-155613	0.377248635674	NA	NA	0.765099054615524	0.234961160956223
chr1_GL834416_random	207086	207087	chr1_GL834416_random-207087	0.157707185315	NA	NA	0.485999879568856	0.51406033600289
chr1_GL834416_random	207263	207264	chr1_GL834416_random-207264	-0.482211138576	NA	NA	0.856686939242488	0.143373276329259
chr1_GL834416_random	383844	383845	chr1_GL834416_random-383845	0.238707469672	NA	NA	0.63081832962004	0.369241885951707
chr1_GL834416_random	383872	383873	chr1_GL834416_random-383873	-0.398014204821	NA	NA	0.781297043415427	0.21876317215632
chr1_GL834416_random	445975	445976	chr1_GL834416_random-445976	-0.455683146521	NA	NA	0.826940446799542	0.173119768772205
chr1_GL834416_random	726593	726594	chr1_GL834416_random-726594	-0.35503656767	NA	NA	0.748479556813392	0.251580658758355
chr1_GL834416_random	762216	762217	chr1_GL834416_random-762217	-0.318023183522	NA	NA	0.716324441500572	0.283735774071175
chr1_GL834416_random	762254	762255	chr1_GL834416_random-762255	-0.464480615269	NA	NA	0.838020112000963	0.162040103570783
chr1_GL834416_random	765903	765904	chr1_GL834416_random-765904	-0.410927103031	NA	NA	0.79177455289938	0.208285662672367
chr1_GL834416_random	765960	765961	chr1_GL834416_random-765961	-0.421068569129	NA	NA	0.798157403504546	0.201902812067201
chr1_GL834416_random	766108	766109	chr1_GL834416_random-766109	-0.342845013855	NA	NA	0.73818269404468	0.261877521527067
chr1_GL834416_random	797081	797082	chr1_GL834416_random-797082	0.235831193974	NA	NA	0.626362377310773	0.373697838260974
chr1_GL834416_random	797087	797088	chr1_GL834416_random-797088	0.365260593963	NA	NA	0.756307581140483	0.243752634431264
chr1_GL834416_random	797278	797279	chr1_GL834416_random-797279	0.262141690392	NA	NA	0.661347624495695	0.338712591076052
chr1_GL834416_random	807141	807142	chr1_GL834416_random-807142	0.099159509223	NA	NA	0.334015776479798	0.666044439091949
chr1_GL834416_random	807164	807165	chr1_GL834416_random-807165	0.169802877634	NA	NA	0.511952790991751	0.488107424579996
chr1_GL834417_random	472303	472304	chr1_GL834417_random-472304	0.0141495250727	NA	NA	0.0522069007045222	0.947853314867225
chr1_GL834417_random	968175	968176	chr1_GL834417_random-968176	0.321363295731	NA	NA	0.719455651231408	0.280604564340338
chr1_GL834417_random	968429	968430	chr1_GL834417_random-968430	0.609342856626	NA	NA	0.935749984946107	0.0643102306256398
chr1_GL834417_random	2538196	2538197	chr1_GL834417_random-2538197	0.0896598476661	NA	NA	0.304148852893358	0.695911362678389
chr1_GL834417_random	2538460	2538461	chr1_GL834417_random-2538461	0.0459781593081	NA	NA	0.163545492864455	0.836514722707292
chr1_GL834417_random	2572416	2572417	chr1_GL834417_random-2572417	-0.41828115037	NA	NA	0.796772445354369	0.203287770217378
chr1_GL834417_random	3373879	3373880	chr1_GL834417_random-3373880	-0.13703039823	NA	NA	0.434876859155778	0.565183356415969
chr1_GL834417_random	3564801	3564802	chr1_GL834417_random-3564802	0.505652832797	NA	NA	0.878183898356115	0.121876317215632
chr1_GL834417_random	3565056	3565057	chr1_GL834417_random-3565057	0.39135500461	NA	NA	0.775757210814717	0.22430300475703
chr1_GL834417_random	3602384	3602385	chr1_GL834417_random-3602385	-0.172151022882	NA	NA	0.516107665442283	0.483952550129463
chr1_GL834417_random	3602395	3602396	chr1_GL834417_random-3602396	-0.47347753147	NA	NA	0.848858914915397	0.15120130065635
chr1_GL834417_random	3602437	3602438	chr1_GL834417_random-3602438	-0.145020932854	NA	NA	0.455229722406214	0.544830493165533
chr1_GL834417_random	3602645	3602646	chr1_GL834417_random-3602646	-0.125205468741	NA	NA	0.406455109291263	0.593605106280484
chr1_GL834417_random	3602678	3602679	chr1_GL834417_random-3602679	-0.263834435101	NA	NA	0.663394953935088	0.336665261636659
chr1_GL834417_random	3631216	3631217	chr1_GL834417_random-3631217	-0.348596255827	NA	NA	0.742819293069188	0.257240922502559
chr1_GL834417_random	3631406	3631407	chr1_GL834417_random-3631407	-0.155892140944	NA	NA	0.481423496116096	0.518636719455651
chr1_GL834417_random	3631446	3631447	chr1_GL834417_random-3631447	0.189655001863	NA	NA	0.5492864454748	0.450773770096947
chr1_GL834417_random	3631532	3631533	chr1_GL834417_random-3631533	0.177054076341	NA	NA	0.526223881495755	0.473836334075992
chr1_GL834418_random	314749	314750	chr1_GL834418_random-314750	1.17495359908	NA	NA	0.994279520684049	0.00578069488769796
