scaffold	start	end	snp	score	p	q	quantile	adjp	fdr
chr1_GL834412_random	55620	55621	chr1_GL834412_random-55621	-0.2934461	0.4899498	1	0.700781768943845	0.335145716716787	0.989570557590882
chr1_GL834412_random	55671	55672	chr1_GL834412_random-55672	-0.1459471	0.4489375	1	0.774308926472842	0.290486937634521	0.987986422172675
chr1_GL834412_random	208349	208350	chr1_GL834412_random-208350	NA	NA	NA	NA	NA	NA
chr1_GL834412_random	239237	239238	chr1_GL834412_random-239238	NA	NA	NA	NA	NA	NA
chr1_GL834412_random	239269	239270	chr1_GL834412_random-239270	-0.02386177	0.8820683	1	0.156660364825507	0.835933737814993	0.995792298643983
chr1_GL834412_random	239580	239581	chr1_GL834412_random-239581	-0.2131057	0.6731335	1	0.444944049869705	0.555917780843403	0.993686259648994
chr1_GL834412_random	239673	239674	chr1_GL834412_random-239674	-0.7002028	0.438654	1	0.791885953707016	0.27961787006402	0.987525266083371
chr1_GL834412_random	239679	239680	chr1_GL834412_random-239680	0.009875399	0.9574238	1	0.0554391702008073	0.940589260558778	0.996258720807943
chr1_GL834412_random	263367	263368	chr1_GL834412_random-263368	-0.01289622	0.9381285	1	0.0811915589392468	0.913707905227655	0.996149075958833
chr1_GL834412_random	756639	756640	chr1_GL834412_random-756640	0.02815521	0.8695124	1	0.173726431965663	0.818607551763425	0.995703623434651
chr1_GL834412_random	756707	756708	chr1_GL834412_random-756708	-0.5851864	0.4777892	1	0.721628940779725	0.321691718781825	0.989139108121717
chr1_GL834412_random	756748	756749	chr1_GL834412_random-756749	-0.02820579	0.9089928	1	0.119769046037504	0.87321312067189	0.995971210925752
chr1_GL834412_random	756750	756751	chr1_GL834412_random-756751	-0.02455547	0.9127349	1	0.114761637116141	0.87840621712617	0.995994933545526
chr1_GL834412_random	756758	756759	chr1_GL834412_random-756759	-0.004157074	0.9875924	1	0.017117163149558	0.982679322263438	0.996418393114514
chr1_GL834412_random	830668	830669	chr1_GL834412_random-830669	0.01985044	0.9310571	1	0.0906954166879567	0.903867567867082	0.996107314441874
chr1_GL834412_random	875938	875939	chr1_GL834412_random-875939	-0.1615742	0.7282689	1	0.370650452199683	0.627661861349771	0.994403904994454
chr1_GL834412_random	879295	879296	chr1_GL834412_random-879296	-0.5846412	0.4858834	1	0.707628634203669	0.330627476346513	0.989429539006183
chr1_GL834412_random	1188639	1188640	chr1_GL834412_random-1188640	-0.3486008	0.4381776	1	0.792754585866844	0.27911766457033	0.98750318954723
chr1_GL834413_random	106558	106559	chr1_GL834413_random-106559	-0.2029576	0.5773165	1	0.569669408819171	0.436558484174202	0.991973877185614
chr1_GL834413_random	157661	157662	chr1_GL834413_random-157662	-0.04881263	0.8537796	1	0.195851004036585	0.796958720355279	0.995587430324896
chr1_GL834414_random	69494	69495	chr1_GL834414_random-69495	-0.02224577	0.9325921	1	0.08865157631189	0.906003040506023	0.996116453970426
chr1_GL834414_random	69623	69624	chr1_GL834414_random-69624	-0.03751936	0.8965135	1	0.137499361299882	0.855914815050557	0.995890122479715
chr1_GL834414_random	69624	69625	chr1_GL834414_random-69625	0.008500244	0.9781396	1	0.0284604772367278	0.96948592219486	0.996369829197378
chr1_GL834414_random	69759	69760	chr1_GL834414_random-69760	-0.009447743	0.9714439	1	0.0370957028256093	0.96014299977501	0.996334634348106
chr1_GL834414_random	69906	69907	chr1_GL834414_random-69907	-0.1395284	0.5200034	1	0.656788104849011	0.369121572115293	0.990521438093697
chr1_GL834414_random	78681	78682	chr1_GL834414_random-78682	-0.1157718	0.6023453	1	0.534847478411936	0.466997544995781	0.992493095431972
chr1_GL834414_random	78845	78846	chr1_GL834414_random-78846	-0.1157718	0.6023453	1	0.534847478411936	0.466997544995781	0.992493095431972
chr1_GL834414_random	303260	303261	chr1_GL834414_random-303261	NA	NA	NA	NA	NA	NA
chr1_GL834414_random	303296	303297	chr1_GL834414_random-303297	0.3888792	0.07959538	1	0.979255020182924	0.0143935532302689	0.802952898775843
chr1_GL834414_random	303465	303466	chr1_GL834414_random-303466	0.3840185	0.08450264	1	0.977824331919677	0.0160253215323986	0.819393369038536
