ensembl_gene_id,likelihood.posi,likelihood.null,likelihood,pval,FDR
ENSSHAG00000000001,-4215.499333,-4215.499333,0,1,1
ENSSHAG00000000002,-3557.704313,-3559.750509,4.09239199999956,0.0430766386950395,0.136990287636286
ENSSHAG00000000011,-2951.942415,-2950.620782,-2.64326600000004,1,1
ENSSHAG00000000013,-10394.456673,-10394.456673,0,1,1
ENSSHAG00000000016,-3003.405872,-3003.405872,0,1,1
ENSSHAG00000000017,-7036.731095,-7036.731095,0,1,1
ENSSHAG00000000020,-5090.763985,-5101.395733,21.2634960000014,4.00282084117685e-06,2.08273334192457e-05
ENSSHAG00000000027,-3605.927025,-3609.301557,6.74906399999963,0.00937968779941698,0.0334362059660905
ENSSHAG00000000028,-3828.97707,-3829.95726,1.96038000000044,0.16147268398535,0.460329745540351
ENSSHAG00000000031,-3269.767092,-3269.85431,0.174436000000242,0.676199114465906,1
ENSSHAG00000000034,-4272.733387,-4272.733387,0,1,1
ENSSHAG00000000038,-4510.358854,-4562.640201,104.562694,1.52297456142951e-24,4.04981618483958e-23
ENSSHAG00000000040,-4087.971482,-4087.73128,-0.480403999999908,1,1
ENSSHAG00000000050,-4041.37524,-4042.487787,2.22509400000035,0.13578439289915,0.393926031210207
ENSSHAG00000000051,-2290.268976,-2290.268976,0,1,1
ENSSHAG00000000052,-2697.433889,-2697.433888,-1.99999976757681e-06,1,1
ENSSHAG00000000055,-1564.646887,-1564.646887,0,1,1
ENSSHAG00000000063,-4842.630056,-4868.744734,52.2293559999998,4.93823604921546e-13,4.99337169442515e-12
ENSSHAG00000000064,-7427.719273,-7427.719274,2.00000067707151e-06,0.998871621018033,1
ENSSHAG00000000065,-4001.773644,-4036.59156,69.6358319999999,7.13292598440434e-17,1.05875663839769e-15
ENSSHAG00000000069,-6184.294236,-6195.285961,21.9834499999997,2.75011690588735e-06,1.4539323642039e-05
ENSSHAG00000000070,-6934.278425,-6954.685865,40.8148799999999,1.6735394169571e-10,1.32379086285632e-09
ENSSHAG00000000072,-2219.895081,-2222.63175,5.47333799999979,0.0193087126114721,0.0649758455083947
ENSSHAG00000000073,-2944.590539,-2944.590539,0,1,1
ENSSHAG00000000076,-2768.919951,-2771.860597,5.88129200000003,0.0153025887584605,0.0522831477045487
ENSSHAG00000000077,-3823.836522,-3843.386154,39.0992639999995,4.02795813096168e-10,3.05469785926936e-09
ENSSHAG00000000079,-3287.675444,-3287.675444,0,1,1
ENSSHAG00000000080,-2486.261991,-2486.261991,0,1,1
ENSSHAG00000000081,-4578.419798,-4584.77749,12.715384000001,0.000362659815864696,0.0015554297799166
ENSSHAG00000000084,-4813.476853,-4835.004269,43.0548319999998,5.32269965390898e-11,4.46754581632132e-10
ENSSHAG00000000085,-2330.11019,-2330.11019,0,1,1
ENSSHAG00000000088,-5929.343175,-5942.58145,26.4765499999994,2.66756756035314e-07,1.54778362902941e-06
ENSSHAG00000000089,-1966.073253,-1966.073253,0,1,1
ENSSHAG00000000091,-2381.988703,-2381.988703,0,1,1
ENSSHAG00000000095,-4366.881922,-4389.544456,45.3250680000001,1.66899163913071e-11,1.48357450255018e-10
ENSSHAG00000000103,-2840.769905,-2840.795033,0.0502559999995356,0.822618412023668,1
ENSSHAG00000000106,-2528.504403,-2530.664712,4.32061799999974,0.0376532450046434,0.120912193234335
ENSSHAG00000000110,-5725.346415,-5732.65767,14.6225099999992,0.00013133638505029,0.000589598469956365
ENSSHAG00000000111,-1821.059896,-1844.813212,47.5066320000001,5.48181737923344e-12,5.10519773514602e-11
ENSSHAG00000000114,-2690.322911,-2690.322911,0,1,1
ENSSHAG00000000116,-2096.209542,-2096.209542,0,1,1
ENSSHAG00000000118,-11351.834333,-11358.709107,13.7495479999998,0.000208871074242205,0.000920476264414341
ENSSHAG00000000119,-4787.40266,-4787.40266,0,1,1
ENSSHAG00000000121,-5410.016596,-5410.016596,0,1,1
ENSSHAG00000000129,-1859.089709,-1859.089709,0,1,1
ENSSHAG00000000131,-1153.937105,-1153.937104,-1.99999976757681e-06,1,1
ENSSHAG00000000132,-6910.285495,-6912.523081,4.47517200000038,0.0343907407709256,0.111235889791674
ENSSHAG00000000134,-3685.006407,-3685.006407,0,1,1
ENSSHAG00000000138,-3373.651725,-3373.95246,0.601469999999608,0.438017703521169,1
ENSSHAG00000000140,-3129.039665,-3133.630494,9.18165800000043,0.00244452478635401,0.00948809651548213
ENSSHAG00000000144,-628.826872,-628.826872,0,1,1
ENSSHAG00000000153,-4338.441822,-4348.313867,19.7440900000001,8.85350512925231e-06,4.44025309411699e-05
ENSSHAG00000000154,-2010.53614,-2010.53614,0,1,1
ENSSHAG00000000156,-2175.782588,-2187.723923,23.88267,1.02389359376026e-06,5.65221825742742e-06
ENSSHAG00000000157,-5084.267295,-5081.87192,-4.79075000000012,1,1
ENSSHAG00000000162,-2304.500485,-2304.885625,0.77027999999973,0.380130446025055,0.993490237227339
ENSSHAG00000000163,-2013.04064,-2013.18547,0.289659999999913,0.590438492660108,1
ENSSHAG00000000166,-3457.734002,-3476.093461,36.7189179999996,1.36448861189034e-09,9.92629724761666e-09
ENSSHAG00000000174,-1625.426234,-1625.582748,0.313028000000031,0.575828000453027,1
ENSSHAG00000000177,-12516.749709,-12518.933933,4.36844800000108,0.0366103218708797,0.117836697152294
ENSSHAG00000000186,-2782.881122,-2783.052688,0.343132000000878,0.558026927102229,1
ENSSHAG00000000187,-1623.159244,-1623.159244,0,1,1
ENSSHAG00000000189,-3961.816745,-3966.54073,9.44797000000017,0.00211382926518583,0.00827133317354181
ENSSHAG00000000191,-3065.600889,-3065.600889,0,1,1
ENSSHAG00000000195,-6338.011422,-6343.751855,11.4808660000017,0.000703163578891561,0.00293721203508915
ENSSHAG00000000202,-3405.262389,-3405.262389,0,1,1
ENSSHAG00000000215,-6168.924155,-6259.189491,180.530672000001,3.71153886841921e-41,2.72863604573548e-39
ENSSHAG00000000219,-1718.863053,-1734.272177,30.818248,2.8336072257512e-08,1.81240650498662e-07
ENSSHAG00000000223,-1265.559168,-1289.224404,47.3304720000001,5.9972619537419e-12,5.55213184428639e-11
ENSSHAG00000000225,-3741.653452,-3741.653452,0,1,1
ENSSHAG00000000226,-2137.059941,-2137.059941,0,1,1
ENSSHAG00000000229,-1851.684105,-1855.923786,8.47936200000004,0.00359198053536894,0.0135955701789948
ENSSHAG00000000231,-3187.147728,-3189.705184,5.114912,0.0237210693075824,0.078847320267597
ENSSHAG00000000237,-9343.652455,-9357.289632,27.274354000001,1.76537457509038e-07,1.0496504014976e-06
ENSSHAG00000000241,-3395.904481,-3396.758311,1.70766000000003,0.191289255212314,0.536038814269843
ENSSHAG00000000245,-2422.640161,-2430.962945,16.6455680000008,4.50554590581713e-05,0.000210742188364156
ENSSHAG00000000251,-3023.874292,-3023.874292,0,1,1
ENSSHAG00000000254,-6794.961242,-6794.961242,0,1,1
ENSSHAG00000000260,-5029.439705,-5029.439705,0,1,1
ENSSHAG00000000262,-1901.478843,-1901.478842,-2.00000022232416e-06,1,1
ENSSHAG00000000263,-3987.671635,-3987.864479,0.385687999999391,0.534574725599842,1
ENSSHAG00000000269,-3578.501326,-3578.501326,0,1,1
ENSSHAG00000000270,-2129.121739,-2122.976304,-12.2908700000007,1,1
ENSSHAG00000000271,-8950.717706,-8958.075546,14.7156800000012,0.000125002412668019,0.000562781035131449
ENSSHAG00000000291,-14804.706119,-14804.706119,0,1,1
ENSSHAG00000000296,-7348.672271,-7348.672271,0,1,1
ENSSHAG00000000297,-9344.216006,-9344.216006,0,1,1
ENSSHAG00000000298,-5398.20641,-5398.20641,0,1,1
ENSSHAG00000000301,-3058.200491,-3058.200491,0,1,1
ENSSHAG00000000303,-12835.128349,-13010.843466,351.430233999999,2.06865315217243e-78,6.80369134101343e-76
ENSSHAG00000000307,-6234.270189,-6234.270189,0,1,1
ENSSHAG00000000312,-2308.488224,-2308.488225,1.99999976757681e-06,0.998871621274596,1
ENSSHAG00000000315,-8539.603856,-8539.603856,0,1,1
ENSSHAG00000000321,-23861.041449,-24333.996326,945.909754,1.02769446510801e-207,3.21103135622996e-204
ENSSHAG00000000322,-8594.674367,-8625.70601,62.0632860000005,3.32594816476223e-15,4.15677001631984e-14
ENSSHAG00000000324,-1323.677864,-1323.677864,0,1,1
ENSSHAG00000000327,-9390.295357,-9390.295358,1.9999970390927e-06,0.998871622044287,1
ENSSHAG00000000328,-1709.531127,-1709.531127,0,1,1
ENSSHAG00000000330,-2606.456199,-2607.463034,2.01366999999937,0.155887819177998,0.446240486506327
ENSSHAG00000000337,-3800.662276,-3802.680267,4.03598200000033,0.0445397468286711,0.141212013156959
ENSSHAG00000000341,-7470.87332,-7510.05727,78.3679000000011,8.55307974888319e-19,1.50983602685794e-17
ENSSHAG00000000342,-4215.833595,-4215.833443,-0.000303999999232474,1,1
ENSSHAG00000000343,-7390.281787,-7413.40292,46.2422660000011,1.04498224430253e-11,9.4365520876395e-11
ENSSHAG00000000346,-4683.656137,-4687.260907,7.20953999999983,0.00725170777967328,0.026239676847237
ENSSHAG00000000348,-2356.647827,-2359.552028,5.80840200000057,0.0159497811644136,0.054316175747368
ENSSHAG00000000360,-5310.281851,-5341.600466,62.6372300000003,2.4851107024489e-15,3.1563936543909e-14
ENSSHAG00000000361,-5109.194247,-5112.605743,6.82299199999943,0.00899916773271498,0.0321347423781348
ENSSHAG00000000371,-1929.999939,-1929.999939,0,1,1
ENSSHAG00000000372,-7464.294175,-7464.294174,-2.00000067707151e-06,1,1
ENSSHAG00000000384,-3102.089601,-3102.089601,0,1,1
ENSSHAG00000000385,-959.980625,-959.980625,0,1,1
ENSSHAG00000000387,-2699.374956,-2699.374956,0,1,1
ENSSHAG00000000389,-2218.755142,-2219.226721,0.943158000000039,0.331467006032684,0.880296353887905
ENSSHAG00000000390,-2830.972379,-2830.972379,0,1,1
ENSSHAG00000000392,-5437.364911,-5444.446138,14.1624540000012,0.00016768342492052,0.000745272917729963
ENSSHAG00000000394,-1516.057925,-1516.057925,0,1,1
ENSSHAG00000000399,-2435.21566,-2435.21566,0,1,1
ENSSHAG00000000406,-1099.440247,-1115.056751,31.2330080000002,2.28841754270699e-08,1.47883363230362e-07
ENSSHAG00000000407,-12631.618559,-12637.114162,10.9912059999988,0.000915452215198058,0.00375371449656999
ENSSHAG00000000409,-1618.226638,-1618.226638,0,1,1
ENSSHAG00000000414,-1139.301744,-1140.718581,2.83367399999997,0.0923069669649372,0.277187043038872
ENSSHAG00000000417,-1394.007639,-1394.007639,0,1,1
ENSSHAG00000000418,-5224.669462,-5272.409326,95.4797280000003,1.49413481702457e-22,3.40760893123597e-21
ENSSHAG00000000420,-9309.076514,-9309.076514,0,1,1
ENSSHAG00000000421,-7268.533874,-7273.615858,10.1639680000008,0.00143212056821958,0.00567130635665662
ENSSHAG00000000422,-1108.055906,-1108.055906,0,1,1
ENSSHAG00000000425,-2968.676649,-2969.123146,0.892993999999817,0.344667249952803,0.913412063170088
ENSSHAG00000000431,-7567.110325,-7567.907878,1.59510600000067,0.206598143096863,0.573791909427688
ENSSHAG00000000441,-3850.832099,-3850.832099,0,1,1
ENSSHAG00000000447,-6324.949791,-6325.154276,0.408970000000409,0.522492756115344,1
ENSSHAG00000000454,-1164.336959,-1164.336959,0,1,1
ENSSHAG00000000455,-15036.512724,-15036.512724,0,1,1
ENSSHAG00000000460,-2964.559889,-2966.120398,3.12101799999982,0.0772884849314703,0.23605852509128
ENSSHAG00000000464,-3033.574923,-3043.768118,20.3863899999997,6.32782312806056e-06,3.22169451142194e-05
ENSSHAG00000000465,-8403.463174,-8403.463174,0,1,1
ENSSHAG00000000468,-5081.465622,-5081.465622,0,1,1
ENSSHAG00000000472,-4526.98157,-4537.05108,20.1390200000005,7.20124493301769e-06,3.64672443974292e-05
ENSSHAG00000000475,-13340.077392,-13340.077392,0,1,1
ENSSHAG00000000485,-3062.399449,-3083.05504,41.3111820000004,1.29824107951088e-10,1.03743075522551e-09
ENSSHAG00000000486,-3978.975915,-3986.309258,14.6666860000005,0.000128293862296004,0.000577183834044439
ENSSHAG00000000501,-847.524135,-847.524135,0,1,1
ENSSHAG00000000505,-2993.120308,-2999.263301,12.2859859999999,0.000456372226183401,0.00193741171292124
ENSSHAG00000000507,-13211.438729,-13228.954937,35.0324160000018,3.24261967447632e-09,2.28961924811328e-08
ENSSHAG00000000517,-2477.043496,-2477.525539,0.964086000000862,0.326159555572941,0.868415450692506
ENSSHAG00000000518,-4035.280995,-4053.627536,36.6930819999998,1.38269246725049e-09,1.0023718361773e-08
ENSSHAG00000000519,-9872.312375,-9967.847523,191.070296000002,1.85657249400423e-43,1.52654230460953e-41
ENSSHAG00000000520,-1795.318638,-1795.318639,2.00000022232416e-06,0.998871621146314,1
ENSSHAG00000000521,-1958.162141,-1958.162141,0,1,1
ENSSHAG00000000525,-2715.26462,-2715.26462,0,1,1
ENSSHAG00000000526,-2599.181635,-2599.181635,0,1,1
ENSSHAG00000000533,-5942.852983,-5955.288299,24.8706320000001,6.13093384563314e-07,3.4546623626115e-06
ENSSHAG00000000534,-6303.238614,-6303.270682,0.0641360000008717,0.800074363626311,1
ENSSHAG00000000535,-5807.940363,-5807.940363,0,1,1
ENSSHAG00000000537,-2421.358552,-2421.358552,0,1,1
ENSSHAG00000000539,-3142.365995,-3145.526563,6.32113599999957,0.0119307172125359,0.0415811778366631
ENSSHAG00000000550,-2440.656024,-2452.122937,22.9338260000004,1.67675093391619e-06,9.05619411066749e-06
ENSSHAG00000000551,-3563.131144,-3568.850072,11.4378560000005,0.000719627781577882,0.00300197196734325
ENSSHAG00000000553,-3527.659826,-3527.659826,0,1,1
ENSSHAG00000000556,-7146.804918,-7118.668466,-56.2729039999995,1,1
ENSSHAG00000000557,-3969.223846,-3969.223847,2.00000067707151e-06,0.998871621018033,1
ENSSHAG00000000570,-3083.148372,-3083.148372,0,1,1
ENSSHAG00000000572,-14538.383596,-14605.614988,134.462783999999,4.32757461247344e-31,1.72248495244245e-29
ENSSHAG00000000574,-2400.098934,-2400.098934,0,1,1
ENSSHAG00000000577,-2996.531651,-2996.531651,0,1,1
ENSSHAG00000000590,-5635.386819,-5641.676994,12.5803500000002,0.000389823721123309,0.00166280439133076
ENSSHAG00000000591,-15070.886908,-15071.760374,1.7469319999982,0.186262888013449,0.522891638452848
ENSSHAG00000000595,-3705.376724,-3705.376724,0,1,1
ENSSHAG00000000596,-19709.060081,-19709.060081,0,1,1
ENSSHAG00000000598,-4427.243592,-4428.036411,1.58563800000047,0.207950450604921,0.577034798325998
ENSSHAG00000000599,-2334.729507,-2336.543066,3.62711800000034,0.056845173526816,0.177081500183984
ENSSHAG00000000601,-5664.534422,-5664.534427,9.99999974737875e-06,0.997476871715064,1
ENSSHAG00000000604,-6638.058164,-6657.257174,38.3980200000005,5.76908990220339e-10,4.32266700226246e-09
ENSSHAG00000000608,-4018.949457,-4018.949457,0,1,1
ENSSHAG00000000610,-1305.197366,-1312.5845,14.7742679999997,0.000121177829053321,0.000546349389433045
ENSSHAG00000000614,-4130.663593,-4179.413022,97.498857999999,5.38873412253933e-23,1.2659473508176e-21
ENSSHAG00000000627,-6664.2151,-6713.604447,98.7786939999987,2.82355986244954e-23,6.83251503610078e-22
ENSSHAG00000000641,-5216.455906,-5222.895676,12.8795399999999,0.000332193880206005,0.00143460923110389
ENSSHAG00000000643,-6113.628511,-6157.201956,87.14689,1.00753325207342e-20,1.99875406101804e-19
ENSSHAG00000000648,-4733.226312,-4733.226312,0,1,1
ENSSHAG00000000652,-4968.869996,-4982.545284,27.3505759999989,1.69713884360178e-07,1.01111585767889e-06
ENSSHAG00000000653,-2974.208925,-2974.208929,7.99999997980194e-06,0.997743244677665,1
ENSSHAG00000000659,-4160.263435,-4160.263435,0,1,1
ENSSHAG00000000662,-5267.349725,-5267.349725,0,1,1
ENSSHAG00000000668,-1907.938343,-1911.596514,7.31634200000008,0.00683303537248301,0.0248253709550269
ENSSHAG00000000669,-5813.157394,-5813.157394,0,1,1
ENSSHAG00000000675,-4786.214891,-4836.356136,100.282490000001,1.32139839785568e-23,3.25095220007879e-22
ENSSHAG00000000683,-6785.623966,-6785.623966,0,1,1
ENSSHAG00000000685,-2648.111693,-2653.71708,11.2107740000001,0.000813237934195176,0.00336774277719394
ENSSHAG00000000686,-3279.620883,-3279.620883,0,1,1
ENSSHAG00000000689,-4852.098096,-4852.098097,2.00000067707151e-06,0.998871621018033,1
ENSSHAG00000000694,-3809.784092,-3809.784092,0,1,1
ENSSHAG00000000697,-1546.338082,-1547.892549,3.10893399999986,0.0778639066833733,0.23758376604707
ENSSHAG00000000699,-2564.148168,-2591.468436,54.6405359999999,1.44719568104026e-13,1.54326379024242e-12
ENSSHAG00000000700,-3402.352864,-3415.658217,26.6107060000004,2.48860905704465e-07,1.44933066146058e-06
ENSSHAG00000000707,-2129.471297,-2129.416859,-0.108876000000237,1,1
ENSSHAG00000000708,-5647.283022,-5663.683698,32.8013520000004,1.02073825501334e-08,6.82202497922823e-08
ENSSHAG00000000709,-3299.979903,-3304.420303,8.88079999999991,0.00288185236701716,0.011075458451101
ENSSHAG00000000720,-6997.339194,-6997.339194,0,1,1
ENSSHAG00000000721,-3231.694717,-3283.905763,104.422092000001,1.63497392411136e-24,4.32921697108978e-23
ENSSHAG00000000722,-1359.890683,-1359.890683,0,1,1
ENSSHAG00000000724,-4665.829041,-4665.829041,0,1,1
