scaffold	start	end	snp	score	p	q	quantile	adjp	fdr
chr1_GL834412_random	55620	55621	chr1_GL834412_random-55621	0.01554	0.371444444444444	NA	0.381475371199623	0.620844633253198	0.9520744275262
chr1_GL834412_random	55671	55672	chr1_GL834412_random-55672	0.00389	0.469888888888889	NA	0.0946028753240632	0.90929763409162	0.966772507333246
chr1_GL834412_random	208349	208350	chr1_GL834412_random-208350	0.051575	0.161777777777778	NA	0.839759604053736	0.136588410649461	0.813798779655946
chr1_GL834412_random	239237	239238	chr1_GL834412_random-239238	-0.067045	0.204888888888889	NA	0.77032759839736	0.213874558119623	0.872506284236151
chr1_GL834412_random	239269	239270	chr1_GL834412_random-239270	-0.01804	0.397888888888889	NA	0.307918925288711	0.696328794014818	0.957046550349462
chr1_GL834412_random	239580	239581	chr1_GL834412_random-239581	0.092115	0.0294444444444444	NA	0.982111713410323	0.00439183729587113	0.233971026635312
chr1_GL834412_random	239673	239674	chr1_GL834412_random-239674	0.074535	0.198222222222222	NA	0.780933301909027	0.200993677338965	0.865435192123486
chr1_GL834412_random	239679	239680	chr1_GL834412_random-239680	0.0637	0.202222222222222	NA	0.774499175111949	0.20868321301745	0.869747774695535
chr1_GL834412_random	263367	263368	chr1_GL834412_random-263368	0.119605	0.0116666666666667	NA	0.993283054442611	0.000626366106969703	0.08827408978265
chr1_GL834412_random	756639	756640	chr1_GL834412_random-756640	0.07262	0.178	NA	0.81388168748527	0.163964663996913	0.839910735533594
chr1_GL834412_random	756707	756708	chr1_GL834412_random-756708	0.08329	0.0577777777777778	NA	0.95922696205515	0.0176408183305747	0.415992092336573
chr1_GL834412_random	756748	756749	chr1_GL834412_random-756749	0.10572	0.0285555555555556	NA	0.982865896771152	0.00412009635060907	0.227435948364626
chr1_GL834412_random	756750	756751	chr1_GL834412_random-756751	0.09795	0.0356666666666667	NA	0.978010841385812	0.00654075127743691	0.283453167665881
chr1_GL834412_random	756758	756759	chr1_GL834412_random-756759	0.085475	0.0575555555555556	NA	0.959533349045487	0.0175026893412107	0.414819400647257
chr1_GL834412_random	830668	830669	chr1_GL834412_random-830669	-0.02533	0.397111111111111	NA	0.309450860240396	0.694081818902594	0.956913487040908
chr1_GL834412_random	875938	875939	chr1_GL834412_random-875939	0.019875	0.422	NA	0.239028988922932	0.766669445349027	0.960833105063136
chr1_GL834412_random	879295	879296	chr1_GL834412_random-879296	0.039285	0.338666666666667	NA	0.472024510959227	0.530353826457287	0.944352244693042
chr1_GL834412_random	1188639	1188640	chr1_GL834412_random-1188640	-0.019755	0.377888888888889	NA	0.362856469479142	0.639056520719291	0.95337653687257
chr1_GL834413_random	106558	106559	chr1_GL834413_random-106559	0.004175	0.475777777777778	NA	0.0759839736035824	0.927005288745698	0.967386518731549
chr1_GL834413_random	157661	157662	chr1_GL834413_random-157662	0.05223	0.238333333333333	NA	0.705302851755833	0.28319477629143	0.900612436930257
chr1_GL834414_random	69494	69495	chr1_GL834414_random-69495	0.05067	0.277666666666667	NA	0.620221541362244	0.373803885907606	0.922844964516542
chr1_GL834414_random	69623	69624	chr1_GL834414_random-69624	0.043085	0.231333333333333	NA	0.720197973132218	0.26806281594056	0.895587867372134
chr1_GL834414_random	69624	69625	chr1_GL834414_random-69625	0.0283	0.317444444444444	NA	0.525689370728258	0.473953353210746	0.938139802499238
chr1_GL834414_random	69759	69760	chr1_GL834414_random-69760	0.009915	0.428444444444444	NA	0.218995993400896	0.78566982235768	0.961744068205196
chr1_GL834414_random	69906	69907	chr1_GL834414_random-69907	0.02154	0.324222222222222	NA	0.507942493518737	0.491760239239235	0.940245942992476
chr1_GL834414_random	78681	78682	chr1_GL834414_random-78682	0.01019	0.434777777777778	NA	0.199575771859533	0.804412603985053	0.962602094832176
chr1_GL834414_random	78845	78846	chr1_GL834414_random-78846	-0.00501	0.460222222222222	NA	0.123521093565873	0.880287299246854	0.965715020757419
chr1_GL834414_random	303260	303261	chr1_GL834414_random-303261	0.02149	0.391666666666667	NA	0.324487390996936	0.678395786384043	0.95596110425065
chr1_GL834414_random	303296	303297	chr1_GL834414_random-303297	-0.017745	0.401888888888889	NA	0.296559038416215	0.70790801677813	0.957719432373437
chr1_GL834414_random	303465	303466	chr1_GL834414_random-303466	-0.081085	0.0726666666666667	NA	0.945109592269621	0.0280990020298216	0.494876990754418
chr1_GL834414_random	303489	303490	chr1_GL834414_random-303490	-0.084975	0.0608888888888889	NA	0.956493047372142	0.01963050757779	0.432746182985728
chr1_GL834414_random	303533	303534	chr1_GL834414_random-303534	-0.067935	0.107555555555556	NA	0.911359886872496	0.0615800935088528	0.666387656841838
chr1_GL834414_random	303560	303561	chr1_GL834414_random-303561	-0.090555	0.0426666666666667	NA	0.972590148479849	0.00947286678612051	0.330970662028591
chr1_GL834414_random	303574	303575	chr1_GL834414_random-303575	-0.08582	0.0526666666666667	NA	0.963987744520386	0.014599152012901	0.388565268979346
chr1_GL834414_random	935172	935173	chr1_GL834414_random-935173	0.04287	0.244666666666667	NA	0.692976667452274	0.297155821529238	0.904837530577767
chr1_GL834414_random	959639	959640	chr1_GL834414_random-959640	0.065105	0.114333333333333	NA	0.903605939193966	0.0694819127645221	0.691339084316593
chr1_GL834414_random	959732	959733	chr1_GL834414_random-959733	0.06246	0.118777777777778	NA	0.897902427527693	0.0749009781216489	0.706249044301177
chr1_GL834414_random	959982	959983	chr1_GL834414_random-959983	-0.030745	0.335666666666667	NA	0.479566344567523	0.522268609478124	0.943539403980022
chr1_GL834415_random	157521	157522	chr1_GL834415_random-157522	0.063395	0.212333333333333	NA	0.756940843742635	0.228637772703611	0.879748648065073
chr1_GL834415_random	157648	157649	chr1_GL834415_random-157649	0.09298	0.119666666666667	NA	0.896229083195852	0.0760071337566106	0.709102714454389
chr1_GL834416_random	155217	155218	chr1_GL834416_random-155218	0.042075	0.291666666666667	NA	0.587061041715767	0.408154762344211	0.928876602296655
chr1_GL834416_random	155408	155409	chr1_GL834416_random-155409	-0.009005	0.455333333333333	NA	0.13782700919161	0.865648212522055	0.965155425926147
chr1_GL834416_random	155411	155412	chr1_GL834416_random-155412	0.00057	0.497555555555556	NA	0.00796606174876267	0.992627849557949	0.96947678345297
chr1_GL834416_random	155443	155444	chr1_GL834416_random-155444	-0.016155	0.436111111111111	NA	0.196346924345982	0.808366712583376	0.962778216870482
