scaffold	start	end	snp	score	p	q	quantile	adjp	fdr
chr1_GL834412_random	55620	55621	chr1_GL834412_random-55621	0.2075499	0.4026843	1	0.86314184036604	0.0963049848147133	0.666914953425964
chr1_GL834412_random	55671	55672	chr1_GL834412_random-55672	-0.114506	0.6058307	1	0.676970005083884	0.305123095033783	0.863662739304847
chr1_GL834412_random	208349	208350	chr1_GL834412_random-208350	0.1186771	0.717992	1	0.526944585663447	0.472943984020353	0.907569433149391
chr1_GL834412_random	239237	239238	chr1_GL834412_random-239238	0.1546241	0.5486316	1	0.737925775292323	0.233261228559145	0.828849365946125
chr1_GL834412_random	239269	239270	chr1_GL834412_random-239270	-0.2568561	0.2576679	1	0.937264870360956	0.0244836384573601	0.369652780880127
chr1_GL834412_random	239580	239581	chr1_GL834412_random-239581	0.08068297	0.830734	1	0.337214031520081	0.670979842411037	0.933022619126385
chr1_GL834412_random	239673	239674	chr1_GL834412_random-239674	0.1480426	0.5912063	1	0.694204372140315	0.285813367383107	0.855780123301082
chr1_GL834412_random	239679	239680	chr1_GL834412_random-239680	-0.4455331	0.06524727	1	0.985612608032537	0.000248609439749693	0.0160867977985056
chr1_GL834412_random	263367	263368	chr1_GL834412_random-263368	-0.05249119	0.8098418	1	0.374224707676665	0.632506596449386	0.929236900099836
chr1_GL834412_random	756639	756640	chr1_GL834412_random-756640	-0.04927068	0.8211944	1	0.35246568378241	0.653326757158391	0.931337132725791
chr1_GL834412_random	756707	756708	chr1_GL834412_random-756708	0.08438542	0.7658868	1	0.448703609557702	0.554028583244774	0.920015059432994
chr1_GL834412_random	756748	756749	chr1_GL834412_random-756749	-0.4079306	0.07330761	1	0.983782409761057	0.000372186389506768	0.0217733482362773
chr1_GL834412_random	756750	756751	chr1_GL834412_random-756751	-0.4245864	0.06028571	1	0.986273512963904	0.000188823901913308	0.012932781534551
chr1_GL834412_random	756758	756759	chr1_GL834412_random-756759	-0.4315646	0.05717033	1	0.986629384850025	0.000156930663178079	0.0110944915640112
chr1_GL834412_random	830668	830669	chr1_GL834412_random-830669	-0.4070294	0.06563897	1	0.985460091509914	0.000253830047742564	0.0163457476441985
chr1_GL834412_random	875938	875939	chr1_GL834412_random-875939	0.2508144	0.5093042	1	0.777427554651754	0.189704003520257	0.797509434007556
chr1_GL834412_random	879295	879296	chr1_GL834412_random-879296	0.4013058	0.3447213	1	0.898271479410269	0.0604159436820603	0.561433756332578
chr1_GL834412_random	1188639	1188640	chr1_GL834412_random-1188640	0.34016	0.3966992	1	0.867412302999492	0.0921256910648316	0.657194654696132
chr1_GL834413_random	106558	106559	chr1_GL834413_random-106559	0.05807952	0.9212211	1	0.16532791052364	0.844191935356071	0.946023327502379
chr1_GL834413_random	157661	157662	chr1_GL834413_random-157662	-0.1934805	0.6186181	1	0.661870869344179	0.32252013432329	0.870061309410777
chr1_GL834414_random	69494	69495	chr1_GL834414_random-69495	-0.3823169	0.2547792	1	0.938586680223691	0.0236257832972238	0.363144069136632
chr1_GL834414_random	69623	69624	chr1_GL834414_random-69624	-0.2783082	0.3145431	1	0.912709710218607	0.0456422634958776	0.498560746470541
chr1_GL834414_random	69624	69625	chr1_GL834414_random-69625	0.07136707	0.7505361	1	0.474478901881037	0.527501824135209	0.916329358813638
chr1_GL834414_random	69759	69760	chr1_GL834414_random-69760	0.1338814	0.5488606	1	0.737366548042705	0.233529031849187	0.829012076003615
chr1_GL834414_random	69906	69907	chr1_GL834414_random-69907	0.04912436	0.8232964	1	0.349161159125572	0.657204419137449	0.931714595656302
chr1_GL834414_random	78681	78682	chr1_GL834414_random-78682	0.05209471	0.8126845	1	0.368479918657855	0.637700230797199	0.929772744204234
chr1_GL834414_random	78845	78846	chr1_GL834414_random-78846	0.04614992	0.8341051	1	0.331825114387392	0.677251131110988	0.933601643470336
chr1_GL834414_random	303260	303261	chr1_GL834414_random-303261	-0.424377	0.1093016	1	0.977325876970005	0.00146096834745874	0.0611080494413029
chr1_GL834414_random	303296	303297	chr1_GL834414_random-303297	-0.1119464	0.6718154	1	0.591154041687849	0.3998266950737	0.892483775786565
chr1_GL834414_random	303465	303466	chr1_GL834414_random-303466	-0.1377041	0.6017088	1	0.682714794102694	0.299616823251302	0.861504182892695
chr1_GL834414_random	303489	303490	chr1_GL834414_random-303490	-0.01043172	0.9653519	1	0.0739196746314184	0.931207981911219	0.950819078806818
chr1_GL834414_random	303533	303534	chr1_GL834414_random-303534	-0.07398034	0.7653619	1	0.449517031011693	0.553113575080021	0.919893340999789
chr1_GL834414_random	303560	303561	chr1_GL834414_random-303561	-0.06250236	0.8043476	1	0.384646670055923	0.622507073410619	0.928181845551264
