scaffold	start	end	snp	score	p	q	quantile	adjp
chr1_GL834412_random	55620	55621	chr1_GL834412_random-55621	0.054938	NA	NA	0.636102139685103	0.363948324586193
chr1_GL834412_random	55671	55672	chr1_GL834412_random-55672	0.06012	NA	NA	0.678895841744045	0.321154622527251
chr1_GL834412_random	208349	208350	chr1_GL834412_random-208350	0.033864	NA	NA	0.425817521194994	0.574232943076302
chr1_GL834412_random	239237	239238	chr1_GL834412_random-239238	0.513685	NA	NA	0.998738393217602	0.00131207105369398
chr1_GL834412_random	239269	239270	chr1_GL834412_random-239270	-0.078712	NA	NA	0.793247880500606	0.20680258377069
chr1_GL834412_random	239580	239581	chr1_GL834412_random-239581	0.022576	NA	NA	0.292919862737182	0.707130601534114
chr1_GL834412_random	239673	239674	chr1_GL834412_random-239674	0.036045	NA	NA	0.450040371417037	0.550010092854259
chr1_GL834412_random	239679	239680	chr1_GL834412_random-239680	0.031299	NA	NA	0.398011707710941	0.602038756560355
chr1_GL834412_random	263367	263368	chr1_GL834412_random-263368	-0.030963	NA	NA	0.39442874444893	0.605621719822366
chr1_GL834412_random	756639	756640	chr1_GL834412_random-756640	0.059997	NA	NA	0.677735163504239	0.322315300767057
chr1_GL834412_random	756707	756708	chr1_GL834412_random-756708	-0.00733	NA	NA	0.0954279370205894	0.904622527250706
chr1_GL834412_random	756748	756749	chr1_GL834412_random-756749	0.005548	NA	NA	0.0718358901897457	0.92821457408155
chr1_GL834412_random	756750	756751	chr1_GL834412_random-756751	0.004643	NA	NA	0.0603552684699233	0.939695195801373
chr1_GL834412_random	756758	756759	chr1_GL834412_random-756759	-0.012381	NA	NA	0.16163706096084	0.838413403310456
chr1_GL834412_random	830668	830669	chr1_GL834412_random-830669	0.044684	NA	NA	0.540497577714978	0.459552886556318
chr1_GL834412_random	875938	875939	chr1_GL834412_random-875939	0.055089	NA	NA	0.637111425111021	0.362939039160275
chr1_GL834412_random	879295	879296	chr1_GL834412_random-879296	0.049406	NA	NA	0.58303895841744	0.417011505853855
chr1_GL834412_random	1188639	1188640	chr1_GL834412_random-1188640	0.026772	NA	NA	0.344141098102543	0.655909366168753
chr1_GL834414_random	69571	69572	chr1_GL834414_random-69572	0.009813	NA	NA	0.126412999596286	0.87363746467501
chr1_GL834414_random	69623	69624	chr1_GL834414_random-69624	0.008916	NA	NA	0.114452967299152	0.885597496972144
chr1_GL834414_random	69624	69625	chr1_GL834414_random-69625	0.023935	NA	NA	0.309598304400484	0.690452159870811
chr1_GL834414_random	69759	69760	chr1_GL834414_random-69760	-0.008668	NA	NA	0.112283003633428	0.887767460637868
chr1_GL834414_random	69906	69907	chr1_GL834414_random-69907	0.008887	NA	NA	0.114074485264433	0.885975979006863
chr1_GL834414_random	78582	78583	chr1_GL834414_random-78583	0.077902	NA	NA	0.789160274525636	0.21089018974566
chr1_GL834414_random	78681	78682	chr1_GL834414_random-78682	0.065548	NA	NA	0.716996366572467	0.283054097698829
chr1_GL834414_random	78845	78846	chr1_GL834414_random-78846	-0.015325	NA	NA	0.198955389584174	0.801095074687121
chr1_GL834414_random	303260	303261	chr1_GL834414_random-303261	0.112134	NA	NA	0.905379491320145	0.0946709729511506
chr1_GL834414_random	303296	303297	chr1_GL834414_random-303297	-0.151094	NA	NA	0.95321962050868	0.0468308437626161
chr1_GL834414_random	303465	303466	chr1_GL834414_random-303466	0.033825	NA	NA	0.425237182075091	0.574813282196205
chr1_GL834414_random	303489	303490	chr1_GL834414_random-303490	0.083051	NA	NA	0.814089624545822	0.185960839725474
chr1_GL834414_random	303533	303534	chr1_GL834414_random-303534	-0.040853	NA	NA	0.5024727492935	0.497577714977796
chr1_GL834414_random	303560	303561	chr1_GL834414_random-303561	-0.039522	NA	NA	0.488595074687122	0.511455389584174
chr1_GL834414_random	303574	303575	chr1_GL834414_random-303575	-0.043593	NA	NA	0.529799152200242	0.470251312071054
chr1_GL834414_random	935172	935173	chr1_GL834414_random-935173	0.032003	NA	NA	0.405530884134033	0.594519580137263
chr1_GL834414_random	959639	959640	chr1_GL834414_random-959640	-0.003407	NA	NA	0.0448627371820751	0.955187727089221
chr1_GL834414_random	959732	959733	chr1_GL834414_random-959733	0.001363	NA	NA	0.0183689947517158	0.98168146951958
chr1_GL834414_random	959982	959983	chr1_GL834414_random-959983	-0.176631	NA	NA	0.968914008881712	0.0311364553895842
chr1_GL834416_random	155408	155409	chr1_GL834416_random-155409	-0.032288	NA	NA	0.408382115462253	0.591668348809043
chr1_GL834416_random	155411	155412	chr1_GL834416_random-155412	0.004039	NA	NA	0.0519277351635042	0.948122729107792
chr1_GL834416_random	155443	155444	chr1_GL834416_random-155444	0.029576	NA	NA	0.377371820750908	0.622678643520388
chr1_GL834416_random	155549	155550	chr1_GL834416_random-155550	0.06373	NA	NA	0.704304602341542	0.295745861929754
chr1_GL834416_random	155612	155613	chr1_GL834416_random-155613	0.053719	NA	NA	0.626463463867582	0.373587000403714
chr1_GL834416_random	207086	207087	chr1_GL834416_random-207087	0.095643	NA	NA	0.859911182882519	0.140139281388777
chr1_GL834416_random	207263	207264	chr1_GL834416_random-207264	-0.029354	NA	NA	0.374596285829633	0.625454178441663
